timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1535040498784365,1,5,2,-1,-1,0,1,0
1535040498784365,0,4,1,-1,-2,0,-1,0
1535040498784365,-1,4,-1,1,0,-1,-1,0
1535040498784365,-1,1,-2,-1,0,0,0,-2
1535040498786364,-1,-1,-1,-2,-2,-2,-1,0
1535040498786364,0,2,1,0,-2,-1,-1,-2
1535040498787362,-1,3,-1,-2,0,-1,-1,0
1535040498787362,-1,-3,-3,0,0,-1,-3,-2
1535040498794427,-2,-5,-3,-1,-1,-2,0,0
1535040498794427,0,2,-2,-3,-1,0,0,0
1535040498801424,1,-3,-2,-1,-1,0,-1,-2
1535040498801424,-1,1,-1,-1,0,-2,0,0
1535040498824414,-1,0,-1,2,0,0,0,0
1535040498824414,-2,-6,-1,1,-1,-1,-1,0
1535040498828335,-1,-7,-2,0,-1,0,-1,-2
1535040498828335,0,-1,-2,-2,-1,-1,0,0
1535040498830407,1,1,0,-2,-1,0,-1,1
1535040498830407,-1,-3,-1,-1,-1,-1,0,0
1535040498863319,-3,-5,-1,0,-2,-1,-1,0
1535040498863319,0,-8,0,0,-1,-2,0,-3
1535040498892372,-2,-2,0,-1,-1,-1,0,-1
1535040498892372,1,5,0,-1,-1,1,-1,0
1535040498893298,0,0,-1,0,-2,-2,-3,-3
1535040498893298,1,-1,0,-1,-2,0,-2,-3
1535040498893298,-3,-1,-3,0,-1,-1,0,-1
1535040498893298,0,3,-1,1,-1,0,-2,-2
1535040498894298,-4,-4,-3,-1,-1,0,2,0
1535040498894298,-1,0,-2,-2,0,-1,-1,-1
1535040498906293,-1,4,-2,-2,-1,0,-1,-1
1535040498906293,-1,0,0,0,-1,-2,1,-2
1535040498912360,0,-1,1,-1,0,-1,-1,-1
1535040498912360,-1,0,0,0,0,-2,-1,-2
1535040498921283,0,-4,0,-1,0,-1,0,0
1535040498921283,1,0,2,-2,0,0,-2,0
1535040498935349,0,4,-2,-3,-2,-1,-2,3
1535040498935349,-3,-4,-1,-2,-2,-1,0,7
1535040498943285,-2,-5,-2,0,-2,-1,-3,-6
1535040498943285,-1,-6,0,1,-1,-3,-2,1
1535040498957383,-1,-4,-1,-2,-1,-1,0,-2
1535040498957383,-2,0,-3,-1,-1,-1,-2,-2
1535040498966283,-2,-1,1,0,0,-1,-2,4
1535040498966283,-1,4,-4,-1,-2,0,0,-6
1535040498981324,0,4,0,-1,-1,-1,-1,-2
1535040498981324,-2,-6,-1,-2,0,0,1,-1
1535040498982251,-1,-3,-2,-2,-3,-1,1,-3
1535040498982251,0,-6,-1,-1,0,0,0,2
1535040499004235,-2,1,0,1,1,-1,-1,1
1535040499004235,-2,2,-1,2,-2,-2,-3,-3
1535040499004235,0,0,-1,-1,-2,-1,-2,-2
1535040499004235,-1,0,-3,-2,-1,0,-1,2
1535040499027302,0,-1,-3,-2,0,0,-2,-2
1535040499027302,-4,-4,-1,-1,-2,2,-1,-3
1535040499027302,2,3,1,-1,1,2,-2,-1
1535040499027302,-2,-3,0,-1,-2,3,-1,0
1535040499041287,-1,-6,1,-1,-1,1,-1,-2
1535040499041287,1,5,-1,-1,-1,-2,-1,0
1535040499042215,-2,-1,-1,0,0,-3,1,-1
1535040499042215,-2,-1,0,-1,0,-3,-1,-3
1535040499064201,0,1,-2,-1,-1,-3,-2,0
1535040499064201,0,-1,0,0,0,-4,-2,0
1535040499065200,0,-4,-3,-1,-2,-2,0,-1
1535040499065200,-3,-2,-2,0,0,-3,-2,2
1535040499077193,-1,3,0,-1,-1,-1,-1,-8
1535040499077193,2,4,-2,1,1,0,2,-2
1535040499086256,0,2,-1,0,0,0,-2,-1
1535040499086256,-1,2,-1,-1,1,-1,1,0
1535040499100295,2,2,-1,-2,-2,-1,1,1
1535040499100295,-1,-3,0,1,-2,-2,-2,-2
1535040499109175,0,-2,1,-1,0,-1,-2,0
1535040499109175,0,-3,-1,0,-2,-2,0,-1
1535040499124283,-1,-4,0,1,-1,0,0,1
1535040499124283,-2,-5,-3,-3,-2,0,1,-6
1535040499125176,-1,0,-3,-2,0,0,0,1
1535040499125176,2,1,0,-2,-2,-1,-2,0
1535040499146272,0,3,0,-2,-1,-2,-1,1
1535040499146272,-2,0,-1,0,-1,0,-1,0
1535040499148169,-1,-2,0,0,-1,-1,-1,0
1535040499148169,-1,-1,-3,-1,-1,-1,-1,-2
1535040499169157,-2,-3,-1,1,0,-2,-2,0
1535040499169157,0,-2,-2,-2,0,-1,-2,1
1535040499170141,-1,5,0,-2,0,0,0,-1
1535040499170141,0,-1,0,-1,-1,1,0,-3
1535040499184250,5,0,2,1,0,1,1,6
1535040499184250,-3,4,1,-2,0,0,-1,-6
1535040499185135,-6,-3,-1,-1,-1,0,0,-9
1535040499185135,0,-3,-3,-1,0,0,0,-1
1535040499206235,-5,-2,-1,0,-2,0,0,0
1535040499206235,1,1,2,2,0,-1,0,3
1535040499208119,1,1,0,1,-1,-1,-1,1
1535040499208119,-3,-3,-2,-1,0,-2,-1,-3
1535040499220111,-3,1,-2,-3,-1,0,0,-1
1535040499220111,3,6,-1,-2,0,-2,-2,2
1535040499236104,-1,-3,-2,-1,-1,-3,-1,1
1535040499236104,-6,-6,0,-2,-1,-2,0,-1
1535040499244173,2,-4,-1,-2,-1,0,-1,0
1535040499244173,-4,-4,-1,-2,-1,0,0,-2
1535040499245114,-1,-3,-1,0,-2,0,-3,-1
1535040499245114,2,4,1,1,0,-1,-2,1
1535040499266199,0,4,-2,-1,-2,-2,-3,-4
1535040499266199,-2,1,2,-2,0,-1,0,1
1535040499268088,2,0,-1,-1,1,-1,-1,0
1535040499268088,1,4,1,1,0,-2,0,0
1535040499280196,2,-1,-2,-2,-1,-1,0,11
1535040499280196,-4,-4,-1,1,0,-1,-1,-6
1535040499289072,-9,-6,0,-1,-1,0,-1,-10
1535040499289072,4,5,3,0,-2,1,-2,-3
1535040499304100,1,0,1,-1,-2,-1,0,1
1535040499304100,0,1,-1,-1,-2,0,-1,4
1535040499306063,1,2,-1,-2,-1,-1,0,2
1535040499306063,-3,0,-2,0,-2,-2,-1,-3
1535040499334121,-1,-2,-3,-1,1,0,-1,-4
1535040499334121,-2,-8,-3,-1,-1,0,-1,3
1535040499336046,-1,0,-3,-1,-1,-2,-1,-1
1535040499336046,-3,-1,-3,-2,-1,-1,0,4
1535040499340053,-1,0,0,0,-1,-3,-2,-2
1535040499340053,-1,0,1,0,-1,-1,-1,-3
1535040499349040,0,-3,-1,0,1,1,1,0
1535040499349040,1,-5,-4,-2,-1,-2,-1,-2
1535040499364104,-2,-4,-2,1,0,-1,0,-3
1535040499364104,2,0,-3,-1,-2,1,0,-1
1535040499366028,1,4,-1,-2,-2,-1,0,2
1535040499366028,-2,0,-1,0,0,-2,0,1
1535040499386033,-4,-7,-2,0,-1,-1,-2,-6
1535040499386033,-2,-1,0,-2,-1,-2,-1,-1
1535040499388016,5,-4,0,1,-2,-1,-1,6
1535040499388016,-3,-5,2,-2,-1,1,-1,-8
1535040499400083,-5,0,1,0,-1,-1,-1,-3
1535040499400083,2,0,1,-1,-1,0,0,7
1535040499409003,-1,1,-2,-1,-3,-1,-1,-6
1535040499409003,-2,-1,0,0,2,0,0,1
1535040499424070,-1,1,-2,-2,-1,-2,-3,-3
1535040499424070,0,0,-3,-2,-2,-1,-1,-2
1535040499425994,-1,6,2,-1,0,-1,1,3
1535040499425994,-1,-1,-1,0,-1,-2,1,0
1535040499446101,0,-3,-1,-1,0,-1,-1,-2
1535040499446101,0,-3,-1,-2,-1,-1,-2,-3
1535040499447984,-2,-3,0,-1,-1,-3,-1,-1
1535040499447984,0,-2,-1,-1,-1,0,0,-1
1535040499461092,-1,-5,-2,-2,-1,-1,0,1
1535040499461092,-1,-2,-1,1,-1,-3,-1,-2
1535040499475084,-2,2,-3,0,-1,-3,-1,0
1535040499475084,0,7,0,0,0,-1,1,1
1535040499484035,-5,2,-1,-1,0,-1,-1,0
1535040499484035,0,0,0,0,0,-1,-1,-2
1535040499485960,2,-3,-1,-1,-1,-1,-1,-1
1535040499485960,-1,-5,-2,-2,-1,-3,-1,0
1535040499514056,0,0,0,-1,-1,0,-2,-2
1535040499514056,-3,5,0,0,-1,-2,-1,-6
1535040499515946,1,-2,0,-2,-1,0,-1,-2
1535040499515946,1,-4,-2,-1,-1,0,-1,-1
1535040499519942,0,-1,0,-1,-1,-2,0,-2
1535040499519942,0,0,-2,2,-1,-1,-1,1
1535040499534931,-3,-1,0,1,-2,0,0,-2
1535040499534931,0,-4,-1,-1,1,0,0,0
1535040499544003,-3,1,-3,1,0,-1,0,-2
1535040499544003,3,-1,1,-1,-1,-1,-1,3
1535040499545941,1,0,-1,0,0,-2,-2,-1
1535040499545941,-3,0,0,-1,-2,0,-2,0
1535040499566913,-1,-1,0,0,0,-1,0,-8
1535040499566913,-3,0,0,-1,0,-1,-2,1
1535040499567913,1,-2,-2,-1,-1,0,-1,1
1535040499567913,1,5,-1,0,0,-1,-2,1
1535040499580020,-3,-2,0,-2,1,1,-3,0
1535040499580020,5,-5,0,-1,1,-1,0,-1
1535040499588900,0,0,0,0,1,-1,-2,-1
1535040499588900,2,-3,-2,0,-1,-2,0,1
1535040499603894,-2,1,1,-1,-2,-1,-1,0
1535040499603894,-7,-1,-3,-2,-2,-1,0,-8
1535040499605892,-5,0,1,-1,-1,-1,-1,1
1535040499605892,1,0,-1,1,-3,-1,-1,-2
1535040499626878,1,-1,-1,-2,-1,0,-1,1
1535040499626878,1,-3,-3,-3,1,-1,0,-1
1535040499627885,2,-1,-1,-1,-1,-2,0,5
1535040499627885,-5,1,-1,-1,-1,-1,-4,-2
1535040499640888,-3,-2,-2,-1,0,-2,-2,-4
1535040499640888,0,2,0,1,-2,0,-1,0
1535040499648868,0,0,-1,-1,0,1,1,-1
1535040499648868,3,-2,1,-2,-1,1,0,5
1535040499663860,3,-1,1,0,-1,0,0,0
1535040499663860,-2,-8,-1,-2,-1,-1,-1,-2
1535040499665859,0,-4,0,-1,0,-1,-1,3
1535040499665859,-1,-6,-1,-1,-1,0,0,-2
