timestamp,x,y,z
1535040498582479,0,0.3125,0.125
1535040498605465,0.0625,0.5,0.0625
1535040498620460,0.125,0.625,-0.25
1535040498644453,-0.4375,0.5,-0.3125
1535040498681496,-1.0625,0.8125,-0.25
1535040498684430,-0.5,0.875,-0.1875
1535040498703408,0,0.375,0
1535040498725470,-0.125,0.3125,0.1875
1535040498781483,0.5625,0.5,0.6875
1535040498783381,0.4375,0.5625,0.875
1535040498788366,0.1875,0.375,0.5625
1535040498801424,0.375,0.4375,0.625
1535040498826374,-0.5,0.1875,0.6875
1535040498861356,-1.1875,-0.0625,0.5625
1535040498883417,-0.625,0,0.375
1535040498884320,-0.3125,0.3125,0.1875
1535040498906293,-0.4375,0.375,0
1535040498921283,-0.875,0.625,0.125
1535040498944273,-0.625,0.6875,0.0625
1535040498966283,-0.4375,0.375,0.0625
1535040498983264,0.25,0.125,0.25
1535040499005235,0.4375,-0.0625,0.4375
1535040499028223,0.3125,0,0.625
1535040499043216,-0.3125,0.1875,0.4375
1535040499065200,-0.8125,0.375,0.4375
1535040499086256,-1.1875,0.5625,-0.1875
1535040499108192,-1.375,0.3125,-0.4375
1535040499125176,-0.875,0.375,-0.5625
1535040499147157,-1.1875,0.375,-0.8125
1535040499170141,-1.875,0.4375,-0.875
1535040499185135,-2,0.375,-0.5
1535040499207119,-0.9375,0.625,-0.125
1535040499236104,-0.0625,0.75,0.0625
1535040499245114,0.625,0.8125,0.25
1535040499267086,0.9375,0.75,0.75
1535040499288075,0.0625,0.8125,0.9375
1535040499305079,-0.9375,1.1875,0.75
1535040499335049,-0.8125,1.0625,0.5
1535040499348157,-0.375,0.875,-0.0625
1535040499365032,-0.25,0.4375,-0.25
1535040499387016,-0.875,0.75,-0.375
1535040499408021,-1.1875,0.75,-0.4375
1535040499425011,-0.9375,0.5,-0.4375
1535040499446983,-0.375,0.375,-0.0625
1535040499461991,-0.5625,0.375,-0.125
1535040499484961,-0.5625,0.5,0.1875
1535040499514959,-0.375,0.375,0.0625
1535040499528012,-0.4375,0.3125,0.375
1535040499544929,-0.3125,0.375,0.3125
1535040499566913,-0.375,0.5625,0.3125
1535040499587902,-0.125,0.3125,0.25
1535040499604892,-0.5625,0.25,0.375
1535040499626878,-1.0625,0.3125,0.1875
1535040499647870,-0.3125,0.5625,0.1875
1535040499664858,0,0.4375,0.1875
1535040499686844,-0.625,0.4375,-0.25
1535040499707849,-0.9375,0.4375,-0.375
1535040499724823,-0.625,0.4375,-0.25
1535040499747814,-0.5625,0.625,-0.4375
1535040499767807,0,0.5,-0.375
1535040499784789,-0.3125,0.375,-0.25
1535040499806776,-0.625,0.375,-0.125
1535040499828763,-1.25,0.4375,0.1875
1535040499844755,-0.5625,0.3125,0.5
1535040499866742,-0.625,0.1875,0.4375
1535040499889728,0.0625,0.0625,0.4375
1535040499911717,0.25,0.375,0.75
1535040499926707,0,0.25,0.6875
1535040499949695,-0.4375,0.375,0.3125
1535040499972681,-0.625,0.375,0.375
1535040499986673,-1.0625,0.375,-0.0625
1535040500009660,-0.4375,0.375,-0.5
1535040500032646,-0.4375,0.375,-0.375
1535040500054634,-0.8125,0.375,-0.4375
1535040500069627,-0.9375,0.5625,-0.1875
1535040500092614,-0.5625,0.5,0.0625
1535040500113601,-0.5625,0.5625,0.4375
1535040500130591,-0.3125,0.375,0.625
1535040500152579,0.0625,0.5625,0.6875
1535040500173567,0.0625,0.625,0.5625
1535040500189557,-0.0625,0.875,0.5
1535040500212546,-0.125,0.625,0.4375
1535040500240528,-0.625,0.6875,0.25
1535040500251524,-0.5625,0.6875,0.0625
1535040500272510,-0.8125,0.9375,0.125
1535040500293498,-0.625,0.875,-0.125
1535040500309489,-0.4375,0.75,0
1535040500332476,-0.125,0.6875,0.3125
1535040500353463,-0.125,0.5625,0.3125
1535040500369454,-0.25,0.5625,0.625
1535040500392442,0,0.5625,0.6875
1535040500413429,-0.3125,0.5625,0.6875
1535040500435462,-0.0625,0.375,0.6875
1535040500452409,-0.3125,0.5,0.6875
1535040500473395,-0.125,0.5625,0.625
1535040500489439,-0.1875,0.75,0.375
1535040500512373,-0.4375,0.5,0.1875
1535040500541357,-0.4375,0.5625,0.125
1535040500549382,-0.4375,0.875,0.3125
1535040500572341,-1.25,1.6875,0.5
1535040500594324,-3.5,2,2.0625
1535040500609328,2,0.125,0.6875
1535040500632304,3.1875,-3.0625,1.375
1535040500654291,1.6875,-3.4375,2.3125
1535040500669298,1.875,-2.4375,0.1875
1535040500692271,0.8125,-5.6875,0.8125
1535040500714259,-4.4375,-3.3125,0.9375
1535040500729249,-1.3125,-3.8125,-0.1875
1535040500752235,9.625,-7.4375,-1.625
1535040500775226,13.4375,-9.8125,-1.3125
1535040500789213,5.5625,-9.75,-2.4375
1535040500812200,-4.6875,-8.375,-4.1875
1535040500835187,-10.5625,-8.875,-2.6875
1535040500849179,-7.625,-8.0625,-1.875
1535040500872165,5.0625,-9,-2.0625
1535040500895152,18.125,-11.1875,-1.9375
1535040500916175,24.0625,-15,-0.1875
1535040500932131,12.625,-13.25,0.3125
1535040500955118,-3.0625,-10,-0.625
1535040500976214,-8.75,-8.3125,1.0625
1535040500992097,-8.875,-5.5,-3.0625
1535040501015087,2.5,-4.1875,0.4375
1535040501029092,-9.125,-0.3125,-0.5625
1535040501052065,-17.3125,-1.0625,0.8125
1535040501075053,-24.8125,3.4375,-2.5
1535040501096155,-22.1875,-0.4375,-2.8125
1535040501112028,-26.4375,0.4375,-0.625
1535040501136021,-12.875,0.375,-4.375
1535040501156120,-1.5,4.0625,-4.25
1535040501180005,2.3125,4.1875,-4.5625
1535040501194982,-0.3125,2.9375,-4.875
1535040501216044,-7.375,1.5625,-3.6875
1535040501231959,-1.375,0.75,-3.125
1535040501254949,-1.25,0.5,-2.875
1535040501275934,1.375,0.9375,-2.25
1535040501291925,1.3125,2.0625,-2
1535040501314915,2.875,0.5,-2
1535040501335933,-1.5,0.375,-0.6875
