timestamp,x,y,z
278561076269,0.875,-0.125,0.875
278561091318,0.3125,-0.25,0.625
278561120782,0.1875,-0.375,0.375
278561136463,0.1875,-0.4375,0.0625
278561158977,0.1875,-0.1875,0.0625
278561173821,0.1875,-0.0625,0.0625
278561227881,0.5625,0,-0.375
278561228642,0.25,-0.1875,-0.625
278561238000,0.125,0.1875,-0.625
278561255245,-0.125,0,-0.625
278561280201,0.1875,-0.1875,-0.6875
278561300820,-0.1875,0,-0.25
278561337383,-0.5625,0.25,0.125
278561347306,-0.125,0.3125,0.125
278561353781,-0.0625,0.1875,0.0625
278561375594,0.0625,-0.0625,0.1875
278561391403,0.3125,-0.1875,0.0625
278561413872,0.25,-0.1875,0
278561437121,0.25,0,-0.0625
278561451366,0.4375,0.0625,0.1875
278561473939,0.75,-0.0625,0
278561495826,0.5625,0,-0.125
278561511389,-0.1875,-0.0625,-0.25
278561533894,-0.1875,-0.1875,-0.3125
278561558623,0.0625,-0.1875,-0.4375
278561571434,0.125,0.125,-0.625
278561594294,0.3125,0.0625,-0.6875
278561615706,0,0.1875,-0.8125
278561632161,-0.1875,0.5,-0.6875
278561653922,-0.375,0.375,-0.625
278561675610,-0.3125,0.1875,-0.5
278561691476,-0.0625,-0.0625,-0.375
278561714379,0.125,-0.1875,-0.125
278561734954,-0.25,-0.1875,0
278561758320,-0.5625,0,0.1875
278561773920,-0.125,0,0.1875
278561795122,0.375,-0.125,0.1875
278561818122,0.0625,0.0625,0.3125
278561834365,-0.25,0,0.3125
278561855035,-0.4375,-0.0625,0.1875
278561878272,-0.3125,-0.1875,0.1875
278561893878,-0.0625,-0.1875,0.1875
278561914944,0.0625,-0.25,0.0625
278561938134,-0.0625,-0.1875,-0.1875
278561954380,-0.4375,0.25,-0.125
278561975054,-0.1875,0.125,-0.25
278561998109,0.25,0.1875,-0.1875
278562013907,0.125,0.0625,-0.3125
278562034887,0,0.0625,-0.4375
278562058131,-0.625,0.375,0.125
278562074011,0.125,0.5,0.3125
278562095066,0.6875,0.1875,0.3125
278562118225,0.1875,-0.1875,0.375
278562133886,-0.625,-0.125,0
278562155129,-0.375,-0.25,-0.0625
278562178116,-0.1875,-0.1875,-0.125
278562193902,0.25,-0.125,0.0625
278562215072,0.125,-0.0625,0
278562238140,-0.375,-0.125,-0.4375
278562253920,-0.625,0,-0.0625
278562274974,-0.5,-0.25,-0.0625
278562298153,0.375,-0.5,-0.25
278562313970,-0.0625,-0.5,0.1875
278562336392,-0.75,-0.0625,0.25
278562359694,-0.625,-0.125,0.25
278562373889,0,-0.1875,0.0625
278562396395,0.1875,-0.3125,0.0625
278562427230,0.125,-0.4375,-0.4375
278562440693,-0.25,-0.4375,-0.375
278562456397,-0.125,-0.1875,-0.1875
278562479564,0.3125,-0.25,-0.125
278562500682,0.375,-0.0625,-0.1875
278562516539,-0.125,0.0625,-0.375
278562547026,-0.25,0.375,-1.1875
278562560731,-1.0625,1.8125,-0.4375
278562576409,-1.625,1.25,0.1875
278562599562,-1,2.8125,1.3125
278562620712,-0.125,5.25,-0.5
278562636427,-2.1875,5.6875,-0.9375
278562665710,-0.3125,3.3125,-1.375
278562680593,4.5,4.125,0.4375
278562704532,1.875,3,-0.375
278562718991,0.375,1.3125,-1.1875
278562742046,0.625,1.4375,-0.75
278562756416,-1.375,0.6875,0.5625
278562785730,-0.5,0.625,1.1875
278562800632,0.625,2.125,1.3125
278562825047,0.25,1.3125,1.8125
278562838919,0.625,0,0.625
278562862000,-0.6875,0.0625,0.3125
278562876451,0.375,0.1875,0.6875
278562907115,1.375,0.25,-0.5
278562922145,-0.6875,-0.6875,-1.1875
278562944490,-0.6875,-2.625,-1
278562958923,0.6875,-3.5625,-0.625
278562982456,-0.125,-6.5625,-0.0625
278562996391,0,-7.1875,0.8125
278563018958,1.0625,-6.5625,0.4375
278563042028,1.0625,-4.75,0
278563056350,0.625,-3.5625,0.5
278563078852,0.3125,-3.1875,0.125
278563102137,-0.4375,-2.0625,-0.625
278563116408,-1.625,-1.4375,-0.1875
278563138911,0.3125,-0.625,0.625
278563162086,0.625,-0.1875,0.5625
278563176513,0.125,0.5625,1.0625
278563198889,-0.875,0.875,0.9375
278563223704,-0.875,0.5625,0.6875
278563236569,-0.6875,0.8125,1
278563259320,0.625,1.375,1.8125
278563282029,0.875,0.75,0.5625
278563296497,-0.125,0.3125,0.625
