timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
278599320006,-1,-1,-2,-1,-2,-1,1,1
278599320006,-1,-1,-2,-1,2,1,-1,-2
278599320693,0,-1,1,-1,-1,0,1,-1
278599320693,-1,-1,0,-1,0,0,-5,-4
278599321502,-1,0,0,-1,-1,-3,-1,0
278599321502,-1,-2,-1,1,-1,-1,0,1
278599334879,-2,-1,-2,-3,0,0,-2,-2
278599334879,-1,-1,-2,-2,-1,-2,0,0
278599336489,-2,1,-1,-1,1,3,-1,-1
278599336489,-1,0,-1,0,0,0,1,-1
278599356513,-2,1,0,2,0,-1,-2,0
278599356513,-2,0,0,-1,-2,-3,-2,-2
278599358141,-2,-2,-2,0,0,-2,-2,-2
278599358141,0,2,0,-3,-1,-1,0,-1
278599372415,-1,-3,0,-2,-1,-3,0,-3
278599372415,-1,-1,-1,-1,-2,-2,-1,2
278599374058,0,-1,-2,-2,-1,0,0,1
278599374058,-1,-1,0,-1,-2,-1,1,0
278599378825,1,1,-2,-1,-3,-1,-2,-3
278599378825,-1,-2,-1,-2,-4,-1,-2,-3
278599392336,-1,-2,-1,-1,2,1,0,-2
278599392336,-1,-2,0,-1,1,-1,0,0
278599419385,-1,-2,-2,0,1,-2,-1,1
278599419385,0,0,-2,-2,0,3,1,-1
278599420266,0,-1,0,0,-2,-1,-1,-5
278599420266,3,0,-1,-1,-1,-1,-1,4
278599423841,0,1,-1,-1,-3,0,1,-1
278599423841,-1,1,0,-1,0,-1,0,0
278599431037,1,-1,-2,-1,-3,-2,0,-2
278599431037,-1,0,-2,-2,-2,-3,-2,-2
278599453392,0,-1,-1,0,0,0,-1,1
278599453392,-2,-2,-2,1,-2,0,-1,-2
278599476065,-2,-1,-1,0,2,2,-1,0
278599476065,0,-2,-1,0,0,0,-2,-2
278599492511,-2,-1,-3,-1,-1,-1,-1,1
278599492511,-1,0,-2,-1,0,1,0,0
278599493345,0,-1,0,0,-2,-1,-1,-2
278599493345,-1,-1,-1,-1,-2,-3,-2,-2
278599494031,1,0,0,-1,-1,0,0,3
278599494031,-1,-1,-1,-3,-1,-3,0,-1
278599506718,-1,1,-1,-1,-1,-1,-1,0
278599506718,-3,-1,0,0,1,2,-2,-1
278599508267,-1,-1,0,0,-1,-2,-1,-3
278599508267,0,0,-1,-1,-1,-1,-1,-1
278599529270,-1,1,0,0,0,1,0,0
278599529270,-1,-2,-1,-2,-1,-1,-2,-3
278599530792,0,0,-2,-3,-3,0,-1,1
278599530792,0,0,0,1,-2,1,1,-1
278599534514,-1,0,-3,-2,-1,-1,0,-2
278599534514,-1,0,0,-1,-1,-2,-1,1
278599543611,-2,-1,-2,-1,0,-1,0,0
278599543611,-1,-2,-2,-2,-1,-1,-1,1
278599558361,0,0,0,0,0,-1,0,0
278599558361,0,0,-3,-1,-2,-3,0,-2
278599574242,0,0,-1,-1,-1,1,0,-6
278599574242,-2,-1,-1,-1,-2,-2,-1,-2
278599575039,-1,-2,-1,0,-1,-2,0,-3
278599575039,1,1,-1,-2,0,0,-2,0
278599587081,-1,-1,1,1,0,0,-1,-1
278599587081,-1,-1,-1,0,0,0,-2,0
278599594757,-1,-1,-3,0,0,-1,-2,0
278599594757,-3,-1,-1,0,-3,-2,-2,-1
278599611070,-1,-1,-1,0,-2,-1,0,-2
278599611070,-1,-1,0,0,0,3,1,-2
278599626000,1,-1,1,0,0,0,0,-1
278599626000,0,-1,-2,0,-2,1,1,-1
278599627574,-1,-3,0,-2,-4,-1,-1,1
278599627574,1,-2,-2,-2,-2,-2,-2,2
278599632306,-1,-1,-3,-2,-2,-4,-1,-2
278599632306,-1,0,-1,-1,1,0,0,1
278599648631,-1,-1,-1,-1,-1,-2,0,1
278599648631,-2,-2,1,-1,-1,-4,-2,-3
278599663459,1,-1,-2,-2,-5,-3,-2,0
278599663459,-1,0,0,-1,0,1,0,1
278599665043,-2,-2,-2,-2,-1,-2,-2,-1
278599665043,-2,-2,-1,-3,-1,1,-3,-4
278599687177,1,0,-1,0,-1,-1,2,-1
278599687177,-1,-1,-1,-1,-2,-1,2,6
278599692796,-2,-1,0,0,2,-1,0,-3
278599692796,-2,-1,-2,-1,-1,-1,-1,-1
278599693466,-3,-2,1,-1,0,-2,-5,-3
278599693466,0,-2,-1,-1,-1,0,0,-2
278599707061,0,-3,-2,0,0,-1,-3,-1
278599707061,-2,0,-2,-1,0,-1,1,0
278599731020,-2,-2,0,0,1,0,0,1
278599731020,0,-1,0,0,-1,-1,-1,-1
278599732546,-2,1,-1,-2,-2,-2,0,-1
278599732546,0,0,1,1,-2,-2,0,0
278599746136,0,-2,-1,0,-2,2,-1,0
278599746136,-3,-1,-3,1,0,0,1,-2
278599747498,-1,0,0,0,-1,-3,-3,-1
278599747498,-1,-2,-1,-2,-2,-2,-3,0
278599752231,-2,-1,-1,-2,1,0,1,0
278599752231,-2,-1,0,-2,-2,-1,-5,-1
278599768599,1,-1,-1,0,2,0,-1,-3
278599768599,0,1,-2,0,-2,2,3,-1
278599784264,-1,-2,0,-1,0,0,0,0
278599784264,-2,0,-1,0,-2,-1,-2,-1
278599785808,-1,0,-1,-1,-3,-4,-4,0
278599785808,-1,-2,-1,0,1,2,-3,-5
278599806060,-1,-1,-2,-1,0,0,2,1
278599806060,1,0,0,-1,1,-2,1,-3
278599807598,-2,-1,-1,-2,0,-1,1,1
278599807598,0,-2,-1,-1,-1,-2,-2,0
278599812228,-1,-1,-1,-1,-2,-5,-6,-5
278599812228,0,-1,0,-3,-4,2,-1,0
278599827327,0,0,-1,-2,-5,-2,-1,-1
278599827327,-1,0,-2,-1,1,0,5,1
278599850965,1,0,0,-2,-4,-4,-12,-2
278599850965,1,0,0,0,1,-1,-2,-2
278599852556,-2,-3,-2,1,-1,-1,-3,-2
278599852556,1,-1,0,-1,-1,0,3,3
278599866034,-1,0,-2,-1,0,2,6,-4
278599866034,-1,-1,-2,-3,-1,-3,-3,3
278599867546,-2,0,0,-3,0,0,-1,-6
278599867546,-2,-2,-1,-2,-1,-3,-3,-1
278599872079,-1,-1,0,0,-1,-1,0,-3
278599872079,0,0,-2,0,0,-3,0,-3
278599888495,-1,-1,-2,-1,0,1,3,3
278599888495,-1,-2,-1,1,1,1,-2,-2
278599903446,1,-1,-1,-1,-3,-2,-1,-1
278599903446,-2,-3,-2,-2,0,-1,-1,-1
278599926713,-1,-1,-2,-1,-1,-2,0,1
278599926713,0,3,0,-2,0,1,-2,0
278599927374,-1,1,-2,-1,0,-1,1,2
278599927374,-1,-2,-2,1,-1,-1,-1,-1
278599929002,0,-1,-1,-1,0,1,-3,-1
278599929002,0,0,0,0,-2,-4,-1,-1
278599940287,-2,0,-1,-1,-2,-1,-1,0
278599940287,-2,-1,1,0,2,1,0,-2
278599947030,-2,-2,-2,0,0,1,-1,0
278599947030,1,0,-1,0,-2,0,-3,-1
278599979694,2,-2,0,-1,-2,-1,1,1
278599979694,-2,0,1,-1,0,-1,0,-1
278599986574,-1,1,-1,-1,-2,0,1,-2
278599986574,-1,0,-2,-2,-1,-1,1,1
278599987368,-1,0,-1,0,0,0,-2,-2
278599987368,-1,-1,-1,0,-1,2,0,-3
278599989079,-1,-3,1,0,1,0,2,0
278599989079,1,-2,-1,0,0,-1,-1,-1
278600008493,-1,-1,-1,1,1,1,-2,-1
278600008493,-1,0,-1,-1,-1,-3,0,1
278600010070,-1,1,-1,-2,-1,-1,-2,-1
278600010070,-1,1,-1,-1,-1,-1,-1,-1
278600014524,0,-1,0,0,-3,1,0,-1
278600014524,0,0,0,-1,-1,0,0,1
278600029590,-2,1,0,-1,0,0,-1,-3
278600029590,-1,0,-3,-1,0,-3,0,-3
278600045953,-1,0,-1,1,3,1,2,0
278600045953,2,-2,-1,-1,-2,-2,-2,-2
278600047511,1,0,0,0,2,-3,1,-1
278600047511,-2,0,-2,-1,-1,-1,-3,0
278600060297,-1,-1,0,-2,0,1,0,-2
278600060297,-1,-1,-2,-1,-1,2,1,0
278600067095,-1,-2,-1,-2,-1,0,-4,-1
278600067095,0,-1,0,0,-1,0,-1,0
278600083458,-3,-1,0,0,-2,-4,-1,-2
278600083458,-1,-5,-1,-1,0,0,0,-2
278600089595,-2,6,-3,-2,-4,-3,-1,-3
278600089595,2,0,2,1,2,3,-1,-1
278600098280,-1,-2,1,0,0,0,-1,-1
278600098280,-3,-1,-2,0,0,-2,-1,-2
278600106075,0,-3,-1,0,-2,0,2,2
278600106075,-4,-1,-2,-2,-4,-3,-2,-1
278600128467,0,0,-2,1,-1,1,-1,0
278600128467,-1,1,-1,0,0,1,-1,0
278600130099,0,-3,-2,-1,2,-2,-1,0
278600130099,-2,1,0,0,2,0,0,0
278600142759,2,3,2,-2,0,-3,0,0
278600142759,0,4,0,-2,-3,-3,-1,-1
278600166690,-8,-12,-5,0,-3,-1,-4,-1
278600166690,-3,-5,-2,-3,-5,-4,-3,-2
278600167424,1,6,-1,-2,-1,-3,-2,-2
278600167424,4,-2,0,-1,-1,-4,-1,-1
278600169022,-1,4,0,0,0,4,-3,-3
278600169022,2,2,0,0,-1,-2,1,-1
278600180310,2,-3,-2,-3,-3,0,2,11
278600180310,2,3,0,-1,1,0,-2,-3
278600187226,0,-4,0,-3,1,-3,1,-2
278600187226,-2,-4,0,0,1,1,-2,-4
278600219339,0,1,0,2,-3,-3,-2,-5
278600219339,-6,-3,-4,0,-1,-3,-5,-4
278600220707,-13,-10,-7,-2,1,1,0,-2
278600220707,8,5,0,-1,0,-1,4,0
278600221715,-3,-5,-1,-1,2,2,0,7
278600221715,2,-1,0,-1,-1,-2,0,2
278600226064,0,8,2,1,-3,-7,-7,-6
278600226064,-11,1,-4,-3,-3,-3,-1,-4
278600241311,-11,-5,-3,-1,-2,-3,-1,-9
278600241311,13,4,2,2,3,5,-1,0
278600248620,2,2,0,-2,-2,-4,5,0
278600248620,4,-5,-1,0,0,1,-10,4
278600254664,1,0,-1,-4,-6,-16,-6,-3
278600254664,-11,4,1,-1,-2,0,5,7
278600286754,-4,-5,-2,-1,0,2,1,-2
278600286754,7,7,2,0,2,0,4,0
278600287364,-4,-5,-4,-5,-2,0,-4,-7
278600287364,-1,0,2,1,1,-3,0,-4
278600289143,-5,0,3,1,2,-3,2,4
278600289143,-1,-1,-3,-1,-4,-1,-1,-3
278600300479,24,5,1,2,6,14,1,0
278600300479,-26,-17,-4,-3,-2,2,4,-2
278600307238,7,14,6,-1,-2,-14,-5,6
278600307238,-6,-20,-3,0,4,1,-1,-1
278600322884,2,24,-2,1,-1,-2,0,-2
278600322884,2,-5,-3,-2,-3,0,-4,-4
278600337814,2,-8,-1,2,0,5,5,-5
278600337814,1,12,-1,-2,-5,-7,-11,-1
278600338705,-47,-30,-7,-7,-2,-7,-5,-6
278600338705,46,12,1,2,0,0,1,7
278600346105,1,14,4,0,1,3,5,2
278600346105,6,-5,-1,-1,2,-3,0,-3
278600360715,30,13,7,1,2,11,0,-1
278600360715,-9,-2,1,5,2,2,-2,-2
278600367216,-30,-9,-12,-4,-4,-9,10,15
278600367216,34,24,15,13,11,10,-1,9
278600382843,-63,-19,-9,-11,-7,-14,-11,-15
278600382843,33,7,4,-5,-1,4,12,0
278600406745,33,-3,-11,-18,-5,6,-19,-10
278600406745,-75,-19,-6,10,1,-20,14,-7
278600407356,5,-4,9,2,-3,-3,-11,5
278600407356,2,30,-17,-7,-6,-8,-18,-27
278600409028,83,-18,-6,-6,-5,8,4,0
278600409028,-96,-63,-10,-12,-6,1,-9,2
278600420399,42,52,24,28,12,9,23,16
278600420399,-20,-36,-13,-15,-6,-3,-6,-1
278600443438,2,8,9,16,9,-4,3,-10
278600443438,9,43,-4,-4,-7,-1,10,-4
278600444262,24,-15,6,-16,-7,-1,-2,-6
278600444262,43,0,0,7,2,-3,-1,-1
278600457865,-103,-27,3,7,-1,11,-17,0
278600457865,32,-10,-22,-3,-4,-23,-3,-1
278600458517,-16,5,12,11,10,14,12,3
278600458517,45,33,27,1,1,5,13,13
278600482429,-25,7,-26,-11,-1,5,-20,-20
278600482429,23,7,12,3,-12,-19,0,-6
278600483239,-97,-68,-41,-40,-18,-23,-28,-9
278600483239,14,36,17,38,10,5,19,30
278600495188,11,44,9,-8,0,3,-1,-1
278600495188,-31,-3,-8,0,-3,6,-7,-14
278600502849,20,-63,-12,-10,-11,-9,-19,-28
278600502849,-78,-32,2,-3,4,11,20,17
278600517748,13,17,12,4,2,12,-2,14
278600517748,22,-17,-10,4,8,34,37,5
278600518555,30,22,11,1,-12,-46,-22,-1
278600518555,-51,-26,-20,-7,-6,-8,-16,-16
278600541078,34,22,11,2,-2,-7,15,6
278600541078,-65,-22,-9,-34,-1,19,-15,-12
278600541738,-31,22,22,1,5,41,38,19
278600541738,60,-54,-15,53,10,16,34,40
278600564001,-15,18,-14,-24,-8,-16,-47,-8
278600564001,56,-2,-1,6,-9,-35,-52,-26
278600564662,-43,-23,-45,-27,-3,19,20,-33
278600564662,38,5,-4,-27,-17,-56,-21,16
278600578471,-17,-21,16,9,16,46,42,-12
278600578471,14,30,27,9,1,-22,-26,4
278600579207,-45,-58,-46,-10,-15,-17,-31,-10
278600579207,45,76,2,-14,0,26,36,25
278600602439,73,-39,-31,-38,-6,-6,23,45
278600602439,-3,35,11,16,-1,0,-2,-2
278600603215,-5,67,14,-7,0,9,6,9
278600603215,-36,-8,-34,32,2,-7,-24,-50
278600623613,9,0,34,22,-2,-12,3,30
278600623613,-52,-58,-23,12,8,18,4,6
278600624254,123,66,-18,13,8,17,6,3
278600624254,-53,-64,73,-44,-7,-4,5,-5
278600637934,37,91,-49,53,9,-2,-9,1
278600637934,40,11,57,10,8,25,45,-4
278600638555,-17,-72,-43,-9,-14,-32,-20,6
278600638555,-44,66,48,-6,9,31,14,6
278600653492,21,-21,-9,-1,-8,-48,1,-6
278600653492,-9,-9,-8,-13,0,4,-25,8
278600660463,76,100,112,11,11,6,25,-23
278600660463,-1,-79,-109,23,-7,21,-14,10
278600683924,-128,-35,38,-11,3,6,-13,-15
278600683924,32,21,-8,-29,-9,-9,8,-3
278600684708,51,37,11,18,12,-30,-22,10
278600684708,23,2,3,-26,-16,-11,-13,-2
278600689550,63,27,-10,-16,4,13,14,-13
278600689550,-8,-15,-13,40,0,7,7,9
278600697107,26,39,44,28,11,28,13,19
278600697107,-57,-34,-18,-19,-6,-21,-22,-43
278600722365,-31,-56,-14,11,-1,-4,2,9
278600722365,5,8,0,-28,-14,-10,0,0
278600723434,-15,-24,-21,-5,6,2,9,15
278600723434,4,13,4,27,-2,-14,-17,-15
278600743435,-62,-30,-1,-44,-11,-7,-8,-23
278600743435,30,22,14,28,9,7,4,13
278600744213,-42,-34,-11,6,-2,1,-1,3
278600744213,-8,8,2,-14,-1,-5,-7,-9
278600757844,10,-1,13,12,-2,1,0,-15
278600757844,-3,-3,-6,-15,-2,0,1,3
278600758523,-2,-18,-7,4,-3,0,-1,0
278600758523,-4,13,-17,-28,-5,-7,-7,-12
278600780721,12,1,2,7,3,-4,2,0
278600780721,-4,-7,-14,-3,9,-3,1,2
278600781432,-15,-6,0,0,-6,-2,0,-3
278600781432,6,10,16,9,4,2,2,3
278600803578,-5,-9,-3,-4,-9,-1,-2,-2
278600803578,-7,-2,-12,-16,1,0,-1,-2
278600804206,-7,-7,-3,4,0,2,-1,-1
278600804206,-5,2,8,1,6,-1,-3,0
278600818133,5,-6,-9,0,-4,-3,-1,-5
278600818133,4,8,7,2,-4,-3,-1,-2
278600842271,-6,-9,-7,-6,1,-1,0,1
278600842271,-5,-3,-3,1,3,-1,0,-2
278600843848,4,8,8,2,0,0,-3,-3
278600843848,-1,-3,1,-1,-3,-1,0,-6
278600844625,-10,-11,-7,2,-1,4,4,14
278600844625,-5,-1,-2,-6,1,0,-4,-5
278600857396,6,1,6,10,0,2,1,-2
278600857396,-1,-2,-3,-6,-3,-3,-4,-1
278600858405,-8,-10,-11,-5,-2,-3,-4,-6
278600858405,3,8,9,3,3,-1,-1,-3
278600877762,3,-1,1,-1,-1,2,3,1
278600877762,-2,-4,-6,-1,-3,-3,-1,4
278600878585,-7,-3,-2,-4,0,-3,-8,-7
278600878585,-1,-1,2,-3,0,-3,1,-5
278600901006,-1,-2,-1,13,-4,-5,0,-4
278600901006,-1,-1,-7,-14,-1,4,2,1
278600901715,-1,-3,-3,-2,-2,1,-3,2
278600901715,-4,-1,0,-1,5,-1,-6,-11
278600923854,-3,-4,-5,9,-11,-5,-5,11
278600923854,3,2,2,2,-2,2,12,7
278600931024,-1,0,-1,-1,-1,4,4,5
278600931024,-4,-2,-3,-2,-2,-3,-12,-7
278600932570,-4,-1,4,-2,3,-2,-14,-23
278600932570,0,1,-2,0,-2,-4,8,4
278600937131,2,0,1,2,2,2,-7,-9
278600937131,2,2,0,-1,-2,1,8,10
278600962447,-2,-1,1,-3,2,3,7,13
278600962447,-7,-5,-4,-2,-4,-4,-13,-12
278600963296,-5,-3,-5,-1,0,-3,5,-20
278600963296,2,2,1,1,-2,-1,-6,4
278600977547,-1,-2,-3,-3,-1,-3,-6,-11
278600977547,2,0,0,-1,1,3,-1,8
278600999184,-6,-3,-3,-1,-4,-4,-11,-5
278600999184,2,2,0,0,-4,-1,19,3
278601000791,8,3,3,-1,5,9,25,36
278601000791,-1,-2,-2,-1,4,-2,-7,-5
278601001583,-4,-2,-1,-1,-1,-2,-11,3
278601001583,-5,-3,-2,-3,-3,-2,-16,-14
278601022436,-2,-4,-1,-5,-2,-6,-4,-8
278601022436,4,2,0,1,-1,3,9,31
278601023386,-3,3,-1,0,-3,-1,5,-5
278601023386,-2,-1,-2,0,1,1,-3,-17
278601035844,2,3,0,-1,2,4,22,12
278601035844,0,1,-1,0,-1,-3,-13,-5
278601036565,-2,-5,-3,-1,-2,-3,7,2
278601036565,1,0,1,1,0,-1,-4,3
278601057767,-5,-3,-1,-3,-3,-6,-16,-20
278601057767,-3,-2,-1,-3,0,-1,3,-12
278601058528,2,1,2,-2,0,-1,4,12
278601058528,0,-1,-1,0,-2,1,6,6
278601073507,-3,-2,-1,-2,1,-3,-16,-8
278601073507,-1,-2,-1,-2,-2,-3,0,1
278601080282,4,0,1,0,3,6,20,22
278601080282,1,-1,-1,-2,-3,-5,-6,0
278601095086,0,-2,-1,0,0,4,4,4
278601095086,-3,-1,0,-1,0,-2,-9,-6
278601119110,-1,-3,-2,0,-2,-3,-4,-11
278601119110,-2,1,1,0,1,2,1,4
278601120745,0,-1,-2,-2,-4,-2,-4,-7
278601120745,-4,-1,-1,1,-1,-1,-12,-19
278601121591,-1,-2,-2,0,-3,-2,4,19
278601121591,2,2,-1,0,3,3,6,11
278601141605,-2,0,-1,-1,0,-4,-2,-14
278601141605,-1,-2,-1,-2,-2,-2,-6,2
278601142378,-4,-1,-1,-2,-1,-4,-5,-16
278601142378,2,2,1,1,1,1,4,20
278601155003,1,-1,-1,-2,-2,-2,-9,-6
278601155003,2,-1,-1,-2,-2,0,4,-1
