timestamp,x,y,z
278599175390,0.0625,-0.25,-0.4375
278599183618,0,-0.25,-0.3125
278599199003,-0.0625,-0.0625,-0.0625
278599227845,-0.0625,-0.4375,-0.25
278599251202,-0.5625,-0.4375,-0.125
278599257502,-0.9375,0.1875,0
278599296090,-0.75,0,0.125
278599311052,-0.25,-0.1875,-0.25
278599334024,-0.4375,-0.125,-0.0625
278599348655,-0.4375,-0.3125,-0.375
278599371698,-0.25,-0.5625,-0.6875
278599377990,-0.6875,-0.25,-0.6875
278599417285,-0.5625,0,-0.625
278599422982,-0.4375,0,-0.625
278599437405,-0.3125,0.0625,-0.75
278599475384,-0.3125,-0.0625,-0.75
278599491628,-0.4375,-0.1875,-0.6875
278599507394,-0.6875,0,-0.6875
278599529908,-0.6875,0.0625,-0.5
278599542780,-0.5625,-0.0625,-0.3125
278599573493,-0.5,0,-0.375
278599579619,-0.25,0.0625,-0.375
278599610412,0.0625,0.0625,-0.5625
278599626767,-0.0625,0.25,-0.25
278599648012,0.25,0.125,-0.1875
278599664418,0.1875,-0.1875,-0.1875
278599687854,0.125,-0.125,-0.1875
278599699650,0.3125,-0.1875,0
278599732036,0,-0.3125,-0.25
278599746850,0.3125,-0.3125,-0.1875
278599767902,0,-0.3125,-0.0625
278599785021,-0.25,-0.25,-0.0625
278599806863,-0.125,-0.1875,-0.1875
278599819829,0.3125,-0.375,-0.0625
278599851834,0.625,-0.375,-0.25
278599866781,0.5,-0.5625,0
278599887876,0.3125,-0.5,-0.125
278599904238,0.3125,-0.25,-0.125
278599928243,0.5625,-0.125,-0.25
278599941222,0.8125,-0.3125,0.0625
278599980563,0.5,-0.375,0
278599988241,-0.125,-0.25,-0.125
278600009254,-0.5,-0.125,0.0625
278600022178,0,0.0625,0.3125
278600046714,0.25,0.25,0.6875
278600061064,0.9375,0.25,0.6875
278600084294,0.875,-0.1875,0.4375
278600105467,0.4375,-0.3125,0.1875
278600129375,0.8125,-0.4375,-0.0625
278600143585,0.5625,-0.5,0
278600168206,0.125,-0.125,-0.375
278600181114,0.25,0.875,-0.6875
278600219922,0.9375,2.0625,0.3125
278600225448,-3,2.5,0.75
278600247844,-0.5,4.25,0.125
278600262060,-0.8125,5.6875,-1.3125
278600288418,-1.6875,5.5625,-0.125
278600301055,0.9375,5.3125,-0.875
278600323531,-0.3125,5.5625,-1.5
278600345290,-0.75,5.5,-2.375
278600361555,2.0625,3.3125,-1.5625
278600383617,1.25,1.25,-1.875
278600408212,0.6875,-2.5,-1.4375
278600421094,4.25,-7.375,0.125
278600445094,4.375,-4.75,-1
278600481755,-3.25,-0.1875,-1.4375
278600484227,-6.6875,0.375,-2.875
278600503808,-5.5625,2.625,-6.25
278600524796,-2.1875,3.8125,-6.9375
278600542558,0.375,1.5,-3.8125
278600565510,6.8125,-1.8125,-3.75
278600601688,3.125,-4.1875,0.125
278600604132,4.8125,-4.75,0.25
278600625225,0.25,-2.5625,-4.5625
278600644656,-3.25,-0.875,-4.375
278600661284,-0.75,-1.5625,-3.25
278600685569,2.6875,-2.875,-1.3125
278600721682,3.875,-3.625,1.375
278600724096,7.375,-3.3125,3
278600745086,8.75,-1.5,1.4375
278600773332,8.125,0.0625,2.1875
278600795080,8.6875,2.0625,1.875
278600805179,12.8125,3.125,3.4375
278600842995,15.6875,0.8125,5.9375
278600856777,16.375,1.9375,6.3125
278600862241,15.1875,3.4375,6.875
278600894091,12.375,5,5.0625
278600902568,3.375,8.75,1.75
278600931846,-3.3125,11.0625,0
278600961736,-10.5,9.9375,-2.3125
278600964128,-16.625,8.1875,-3.625
278601000119,-21,5.75,-5.25
278601021794,-17.25,4.9375,-3.5625
278601024222,-16.0625,1.875,-3
278601042158,-14.8125,-1.6875,-2
278601072977,-8.5,-2.875,0.375
278601081141,-3.5625,-3.875,2.4375
278601120031,-3.5,-4.75,3.1875
278601133196,-0.875,-6.5,3.125
278601143191,-0.125,-6.9375,3.8125
278601180619,-0.125,-5.3125,3.875
278601201462,-0.75,-4.8125,3.4375
278601208546,0.5625,-4.4375,3.375
278601239841,1,-2.625,2.75
278601244582,1.625,-2.75,2.25
278601275443,2.75,-2,1.8125
278601291140,0.25,-0.4375,1.0625
278601313017,-2.375,0.375,0.3125
278601321252,-1.5625,0.5,-0.375
278601359874,-0.375,0.5,-0.8125
278601364583,-0.25,1.0625,-0.4375
278601396824,-0.375,1.8125,0
278601409634,-1.1875,1.75,0
278601432822,-1.5,0.6875,-0.5625
278601448495,-1,1.0625,-0.75
278601479484,-1,0.8125,-0.125
278601486112,0.75,-0.1875,0
278601516733,0.0625,0.3125,-0.1875
278601531109,-0.625,0.4375,0.375
278601555809,-0.3125,0.25,0.125
278601568589,-0.4375,-0.0625,0
278601591095,-0.3125,0.375,0
278601607625,0.375,0.0625,0.3125
278601635304,1.1875,-0.25,0.0625
278601643523,0.5,-0.1875,0.125
278601675859,-0.1875,0.3125,0.1875
278601688711,-0.5,0.375,0.25
278601711218,-0.1875,0.125,0.4375
278601726060,0.625,-0.125,0.5625
278601748593,0.8125,0,0.3125
278601765883,0.6875,0.3125,0.3125
278601795880,0.375,0.25,0.0625
278601807109,0.125,0.375,-0.0625
278601831006,-0.3125,0.25,0.0625
278601847664,-0.0625,0.25,0.0625
278601868620,-0.1875,0.1875,0.125
278601885157,-0.0625,0.25,0.125
278601912926,0.0625,0.125,0.125
278601928533,0.25,-0.0625,-0.125
278601952649,0,0.3125,-0.1875
278601974223,-0.1875,0.25,-0.0625
278601988503,-0.125,0.1875,-0.375
278602005639,0.375,-0.0625,-0.1875
278602027580,0.0625,0.0625,0.125
278602042534,-0.1875,0.3125,0.25
278602072665,-0.4375,0.125,0.25
278602087511,0.5625,0.0625,0.125
278602110176,0.75,-0.125,0.25
278602125031,0.625,0.125,-0.0625
278602147512,0.25,0.375,-0.25
278602167088,0.1875,0.3125,0.0625
278602191122,0.4375,0.875,0.5
278602207481,0.8125,1.8125,0.75
278602230056,0.9375,1.4375,0.5625
278602245015,0.5,1.25,0.25
278602267981,0.3125,0.75,0
278602303360,0.0625,1.3125,-1.1875
278602313149,-0.1875,3.625,-1.0625
278602326293,-0.75,6,-0.6875
278602350474,-2.1875,7.8125,-0.75
278602365141,-3.8125,6.1875,-2.1875
278602387987,-3.1875,3.875,-3.1875
278602410452,0.6875,4.5,-2.1875
278602448993,1.6875,2.375,-1.1875
278602462383,0.75,3.875,-1.4375
278602467185,-2,3.9375,-1.1875
278602485045,-4.5625,1,-1.3125
278602508133,-1.6875,-0.0625,-1.8125
278602528606,2.8125,1.5,1.75
278602545227,0.8125,2,1.25
278602567484,-0.5,2.375,1.9375
278602604314,0.0625,1.5625,-0.1875
278602606575,-2.4375,1.6875,-3.1875
278602627998,-0.3125,-2.875,-0.625
278602664302,4.875,-6,-0.1875
278602666736,7.1875,-5.875,-0.375
278602688890,6.9375,-4.8125,-1.6875
278602716582,8.1875,-2.75,-3.25
278602725021,6,-0.875,-7.75
278602746212,4.6875,-1.8125,-6.375
278602784337,0.1875,-5.1875,-5.4375
278602786572,0.75,-4.0625,-3.875
278602821070,5.25,-3.9375,-0.9375
278602844138,7.875,-5.75,1.75
278602846600,7.25,-4.0625,2.25
278602881713,2.75,-1.1875,3
278602895298,4.1875,2.4375,2.3125
278602904272,2.5625,5.25,2.875
278602940957,3.5625,9.25,3.875
278602964902,10.5625,3.25,2.8125
278602967223,6.375,3.5,5.4375
278603000953,-2.3125,6.4375,7.8125
278603015919,-2.125,6.75,6.3125
278603022770,-6.4375,6.6875,2.3125
278603061239,-9.0625,7,0.9375
278603083413,-10.125,5.125,-0.625
278603101338,-10.125,3.5625,-2.5
278603122349,-6.5,-0.8125,-2.8125
278603135878,-3.6875,-1,-0.8125
278603143456,-5.5,-3.75,-0.75
278603173078,-7.625,-6.375,0.6875
278603195575,-4.4375,-6.375,0.875
278603219853,-0.9375,-6.5625,0.875
278603232699,1.5625,-5.625,1.9375
278603255743,2.5625,-5,1.875
278603278508,1.3125,-4.75,1.4375
278603300903,-0.9375,-5.3125,1.6875
278603309082,-3.5625,-5,0.875
278603338644,-2.75,-5.8125,1.75
278603352900,-1.1875,-3.375,2.8125
278603375263,-0.375,-2.4375,2.6875
278603384639,1.5625,-2.5625,1.75
278603412936,1.3125,-2.5,0.9375
278603427806,1.0625,-1.4375,0.9375
278603460088,-0.125,-0.6875,0.0625
278603465404,-1.25,0,-0.4375
278603495388,-2.1875,0.375,-0.5625
278603504695,-0.9375,0.375,-0.1875
278603532714,-0.625,0.375,0.0625
278603549343,-0.3125,0.375,0.125
278603579899,-0.4375,0.5625,-0.25
278603585439,-1.25,0.5,-0.6875
278603615397,-1.4375,-0.3125,-0.3125
278603624218,-0.75,-0.625,0.375
278603652904,-0.5625,-0.25,0.8125
278603669303,0.125,-0.0625,1.0625
278603691678,0.0625,-0.0625,0.75
278603705481,0.1875,-0.25,0.8125
278603735310,0.5,-0.125,0.5625
278603743519,0.5625,-0.5,0.4375
278603772918,0.5625,-0.75,0.5
278603787886,0.125,-0.75,0.25
278603811813,-0.375,-0.625,-0.0625
278603826702,-0.4375,-0.1875,0.0625
278603856904,-0.375,-0.0625,0
278603870427,-0.1875,-0.125,-0.375
278603893001,-0.1875,0.3125,-0.375
278603909306,0,0.3125,-0.4375
278603932329,0.5625,-0.0625,-0.6875
278603946714,0.75,0,-0.5625
278603969236,1.25,0.125,-0.8125
278603990317,1.4375,0,-0.875
278604012748,0.8125,-0.25,-0.5625
278604027769,0.6875,0.0625,-0.25
278604051716,0.0625,-0.4375,-0.0625
278604066784,-0.5,-0.5625,0.5625
278604089217,-1.0625,-0.3125,1.125
278604103690,0.125,-0.0625,1.1875
