timestamp,x,y,z
278928947952,0.625,0.625,1.875
278928948780,0.375,0.9375,1
278928979106,0.375,0.8125,0.5
278928992968,1.125,0.6875,0.1875
278929009067,1.1875,0.8125,-0.125
278929030926,0.4375,0.9375,-0.4375
278929045996,-0.1875,1.0625,-0.8125
278929068504,-0.125,1.0625,-0.875
278929114970,0.125,0.6875,-0.75
278929116889,-0.0625,0.6875,-0.125
278929153022,-0.1875,0.5625,-0.1875
278929157237,-0.375,0.25,0
278929167561,-0.5,0.0625,0.125
278929192841,-0.5625,-0.1875,0.1875
278929222539,-0.1875,-0.4375,0.25
278929226281,0.1875,-0.1875,0
278929272540,0,-0.0625,-0.0625
278929275125,0.125,0,-0.1875
278929324965,0.6875,-0.25,-0.5
278929325544,0.75,-0.4375,-0.75
278929348804,0.5625,-0.3125,-1
278929354178,0.4375,-0.25,-1.0625
278929377857,0.5,-0.3125,-0.8125
278929409010,0.625,-0.1875,-0.8125
278929414270,-0.0625,-0.0625,-0.75
278929429247,-0.6875,0.25,-0.4375
278929468036,-0.8125,0.25,-0.25
278929472786,0.0625,0.125,0.0625
278929498099,0.6875,0.1875,0.375
278929512375,0.375,0.1875,0.125
278929534216,-0.6875,0.1875,-0.0625
278929549256,-0.5,0.125,0.375
278929586617,0.4375,0.0625,0.5625
278929589125,0.6875,0.3125,1.0625
278929615186,-0.25,1.0625,1.0625
278929630396,-1.8125,1.6875,1.5625
278929654943,-3.1875,4.8125,0.75
278929669249,-2.625,4.625,1.0625
278929692831,0.5,4.1875,0.125
278929706052,5.125,2.3125,-0.1875
278929743532,4.4375,1.25,0.875
278929750734,2.4375,2.375,-2.4375
278929789850,-2.1875,3,-3.3125
278929792283,-5.5625,2.125,-3.875
278929828969,-8.9375,1.1875,-3.5
278929850447,-11.25,-1.625,-3.5
278929879077,-9.9375,-2.125,-1.125
278929903860,-10.5625,-0.625,-0.4375
278929910603,-13.5,-0.8125,-2.875
278929912237,-13.8125,3.8125,-6.3125
278929947228,-10.875,4.875,-8.5625
278929949721,4.875,-4,-4.375
278929971327,17.0625,-8.75,-1.4375
278929997893,19.875,-7.1875,2.1875
278930023815,17.4375,-3.625,2.6875
278930029951,16.375,-3.0625,-0.1875
278930065978,2.6875,1.4375,-1.625
278930080957,2.5,3.5,-1.1875
278930087777,11,0.9375,1.625
278930117752,6.1875,0.875,2.375
278930142347,2.375,1.6875,0.875
278930147158,3.125,2.1875,-2.3125
278930179171,9.0625,-0.375,-2.0625
278930186109,10.875,0.25,-2
278930207300,9.5625,-0.875,0.375
278930237936,4.4375,-0.0625,-0.0625
278930262520,2.4375,0.1875,1
278930275297,4.625,0.8125,1.3125
278930299254,1,4.125,-0.0625
278930314221,2.25,3.8125,0.4375
278930336842,10.6875,3.0625,0.625
278930359852,11.5,0,2.125
278930380348,14.8125,-8.1875,10.1875
278930396661,32.9375,-19.625,18.25
278930419741,46.8125,-11.8125,16
278930434215,5.75,13,5.9375
278930457171,-17.0625,21,2.5
278930488023,-6.3125,16.375,1.3125
278930503305,1.25,12.75,-1.6875
278930516756,4.3125,8.4375,-3.625
278930539821,-0.25,5.9375,0
278930554235,-11.375,2,-1.875
278930576663,-13.25,0.8125,2
278930591663,-18.0625,-2.125,1.625
278930613240,-18.8125,-3.625,1.0625
278930636690,-15.8125,-5.8125,0.75
278930659637,-8.375,-5.8125,0.0625
278930674220,-3.5625,-4.5,-0.1875
278930697183,-2.625,-5.75,1.3125
278930711719,-0.9375,-6.875,1.4375
278930734210,-2.125,-7.3125,1.625
278930794817,-0.4375,-7.1875,2.375
278930797305,5.5625,-5.6875,1.8125
278930818863,2.3125,-3,3
278930832270,0.25,-4.8125,2.625
278930834726,0.375,-5.875,0.9375
278930855687,-3.1875,-4.625,0.0625
278930884175,-4.625,-3.5,-0.0625
278930898209,-3.0625,-2.5,-1.0625
278930916392,-1.25,-0.8125,-1.625
278930936701,-1.1875,0.4375,-1.1875
278930952161,-2,0.25,-1.5625
278930974630,-2.6875,-0.375,-1.6875
278931012994,-3.1875,-0.375,-1.4375
278931017692,-3.0625,-0.9375,-0.9375
278931040263,-2.125,-0.5,-1.125
278931056719,-1.625,0.125,-0.375
278931072174,-1.25,-0.5625,-0.0625
278931109912,-2.3125,-0.3125,-0.4375
278931112161,-3.0625,0.4375,-0.5625
278931132632,-2.5,0.5,-0.9375
278931177179,-1.625,0,-1
278931179492,-1.375,0.4375,-1.375
278931192659,-1.1875,0.6875,-1.1875
278931214279,-1.125,1.125,-0.875
278931229068,-1.25,0.9375,-0.8125
278931252510,-1.0625,0.75,-1.1875
278931290464,-0.5625,0.375,-1.4375
278931295695,-0.5625,-0.5625,-1.375
278931320598,-0.5,-0.0625,-1.125
278931334694,-0.625,0.5,-0.875
278931349074,-0.8125,0.3125,-1
278931371449,-0.75,0.125,-1.0625
278931410558,-0.875,0.125,-0.6875
278931423005,-0.625,0.0625,-0.9375
278931439217,-0.3125,-0.3125,-1.4375
278931469168,-0.5,-0.9375,-1.8125
278931471562,-0.6875,-0.4375,-1.125
278931506709,-1,0.375,-0.625
278931530580,-0.375,0.5,-0.4375
278931542500,0,-0.1875,-0.5
278931560814,0.25,-0.875,-0.6875
278931574180,0,-1.3125,-1
278931597155,-0.5625,-1.375,-0.625
278931611610,-0.9375,-0.75,0
278931650598,-0.25,-0.5,0.625
278931655243,0.25,-0.5625,0.75
278931686705,-0.125,-0.5625,0.875
278931694759,-0.25,-0.75,0.6875
278931718192,-0.5625,-0.75,0.8125
278931747772,-1.5,-0.1875,0.625
278931754194,-0.875,0.1875,0.75
278931777181,-0.625,0.5625,1.1875
278931799563,0.0625,0.4375,1.0625
278931814202,0.25,0.5,0.25
278931836675,-0.1875,0.75,-0.0625
278931850981,-0.4375,0.9375,-0.125
278931874151,0.125,0.6875,-0.5
278931902697,0.1875,0.5625,-0.5
278931926666,-0.5625,0.25,-0.3125
278931942406,-1,0.1875,-0.3125
278931956788,-1.1875,-0.25,-0.5
278931971162,-1.0625,-0.125,0
278931995837,-0.125,-0.1875,0.1875
278932031598,0.6875,-0.3125,0
278932034002,0.5,-0.0625,0.125
278932084882,-0.125,0.5625,0.5625
278932087175,0.125,0.5,0.5625
278932100702,0.3125,0.25,0.3125
278932120259,0.125,0.1875,0.3125
278932152302,-0.25,0.375,0.1875
