timestamp,x,y,z
278635722497,0.3125,0,0.3125
278635745814,0.375,-0.125,-0.125
278635768941,0.625,-0.25,-0.3125
278635783247,0.5625,0.125,-0.25
278635805803,0.5625,0.25,-0.375
278635827182,0.4375,0.25,-0.75
278635843243,0.25,0.125,-0.9375
278635888165,0.125,0.375,-0.6875
278635896925,-0.0625,0.375,-0.5625
278635927020,-0.0625,0.1875,-0.6875
278635931923,-0.4375,0.4375,-0.25
278635949453,-0.75,0.8125,0.125
278635964951,-0.25,0.5625,0.125
278635986266,0.5625,0.1875,0.25
278636007760,0.75,0.0625,0.4375
278636044322,0.625,-0.1875,0.3125
278636054519,0.25,-0.3125,0
278636068072,-0.0625,-0.0625,0
278636090662,0.125,-0.125,0.125
278636105925,0.625,-0.0625,0
278636135611,0.6875,-0.0625,-0.1875
278636158117,0.0625,0.0625,-0.125
278636168307,-0.25,0.0625,-0.25
278636203091,-0.1875,0.0625,-0.1875
278636209939,0.1875,-0.125,-0.0625
278636226065,0.3125,-0.125,-0.1875
278636248550,-0.25,0,-0.0625
278636278129,0,0.0625,-0.3125
278636284914,0.375,0.0625,0.0625
278636323075,0.375,0.0625,-0.0625
278636329917,0.4375,0.25,0.1875
278636346091,0.1875,0.1875,0
278636367472,-0.125,0.125,0.125
278636398107,0,0,0.25
278636412472,0.25,0.0625,0.3125
278636435569,0.1875,0,0.125
278636449926,0,0.3125,-0.0625
278636464685,0.0625,0.375,-0.0625
278636487199,-0.0625,0.375,-0.25
278636518117,0.4375,0.1875,-0.625
278636532470,0.3125,0.125,-0.5625
278636557091,0.375,0.25,-0.5625
278636570429,0.375,0.0625,-0.375
278636600630,0.0625,0.125,-0.25
278636608196,-0.0625,0.25,-0.1875
278636638248,-0.125,-0.125,-0.25
278636652545,0.1875,0,-0.25
278636675798,0,0.125,-0.375
278636698892,0.1875,0.25,-0.3125
278636712509,0.4375,0.4375,0.1875
278636729014,0.5625,0.6875,0.3125
278636758672,0.5625,0.375,-0.1875
278636764917,0.1875,-0.125,-0.4375
278636797274,0,-0.125,-0.6875
278636810138,0.25,-0.25,-0.9375
278636832354,0.125,-0.0625,-0.8125
278636850435,-0.125,0.375,-0.6875
278636878403,-0.75,0.5,-0.75
278636885202,-0.5,0.3125,-0.875
278636915850,-0.3125,0.1875,-0.4375
278636930456,-0.4375,0.3125,-0.125
278636952590,-0.375,0.125,0
278636969171,-0.5,-0.125,0.3125
278636990223,-0.375,0.125,0.875
278637012540,-0.4375,0.375,1.125
278637036421,0,0.5625,0.9375
278637057685,0.375,0.375,1
278637073932,0.625,-0.0625,0.875
278637089730,0.8125,-0.25,0.9375
278637112245,0.6875,-0.5625,0.6875
278637127154,0.6875,-0.625,0.5
278637156482,0.875,-0.8125,0.3125
278637169976,0.625,-0.5625,-0.875
278637194392,0.375,-0.125,0.0625
278637209073,-0.8125,0.375,1.625
278637231558,-1,0.125,-0.1875
278637246598,-0.1875,1.5625,-0.5625
278637269027,1.8125,3,0.1875
278637290003,2.5,4.5,-3.125
278637314495,1.625,3.5,-1.3125
278637327574,1.25,2.3125,-2.25
278637351975,-5.625,0.75,-5.5
278637366480,-8.875,-1.9375,-5.9375
278637389001,-11,1.5,-2.125
278637411512,-28.5625,-4.8125,-4.25
278637434399,-38.125,-4.125,-1.375
278637448141,-43.3125,-7.5,3.6875
278637471409,-31.75,-6.5,0.1875
278637485820,-2.4375,4.875,-9.75
278637509037,22.1875,0.4375,-8.75
278637530127,17.0625,-4.8125,2.875
278637546353,1.4375,-0.6875,2.625
278637567536,10.1875,-3.25,8.5625
278637592073,23.5625,-2.375,10.6875
278637605962,17.625,2.0625,4
278637631817,1.4375,7.25,3.9375
278637649965,4.25,5.1875,4.5
278637666240,12.0625,-0.375,7.5625
278637687430,4.125,2.875,7.125
278637711499,0,5.0625,3.4375
278637725950,1,5.25,2.1875
278637750439,9.9375,2.625,1.875
278637770019,12.25,0.375,1.0625
