timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
278109348815,0,0,0,0,0,1,-2,-1
278109348815,-1,-1,-4,-3,0,-1,0,0
278109357729,0,-1,-2,-2,0,0,-1,-2
278109357729,0,0,0,1,-1,-1,-1,-1
278109358383,-3,-1,2,-2,-3,-1,-1,-1
278109358383,-2,0,-1,0,-1,-1,-1,0
278109365051,1,-1,-2,-1,-2,-1,0,1
278109365051,-1,-1,1,2,0,-1,-1,0
278109367442,1,-1,-1,0,-1,-2,0,-1
278109367442,-1,0,-1,-1,2,1,-1,-3
278109371392,-3,-1,0,-7,-3,-1,0,-2
278109371392,-1,-2,0,-1,-2,1,-2,-2
278109379378,-1,0,0,-2,-3,0,0,-1
278109379378,0,-1,-3,-3,0,-2,0,0
278109394746,-1,-2,-2,2,0,-3,0,0
278109394746,-1,1,0,-1,-2,-1,-1,-2
278109402099,1,-1,0,-1,-1,-2,0,-2
278109402099,-2,-1,-3,-3,0,-1,1,-1
278109409959,-1,-1,-1,-2,0,0,-2,2
278109409959,-1,-2,1,-2,-4,-1,0,-1
278109423637,1,1,-1,1,-1,2,0,0
278109423637,-1,1,-1,-1,0,0,1,0
278109431361,0,-1,-2,0,0,-2,-1,-1
278109431361,-1,-2,-1,0,0,-1,-1,-1
278109478957,-1,-1,-3,-4,-1,-1,-1,-1
278109478957,-1,-1,0,1,-1,-1,-2,-1
278109479955,-1,-1,0,-1,1,-1,-1,-1
278109479955,-1,0,-2,-1,-1,-2,-1,-2
278109480601,-2,-3,-2,0,1,-1,-1,0
278109480601,0,-1,-1,-1,-1,1,-1,-3
278109482929,1,-2,0,2,-1,0,0,-3
278109482929,0,-1,-5,-1,-1,0,-1,1
278109491232,-1,2,-2,0,0,0,0,0
278109491232,0,-3,0,-2,-2,-2,0,-2
278109498161,-1,0,0,-1,-2,0,-2,-2
278109498161,0,1,-2,-2,1,1,-1,-1
278109505459,-2,-1,-2,-3,-1,0,0,1
278109505459,-1,0,1,-1,-1,0,-1,-1
278109520538,0,0,0,0,-1,-1,-2,-1
278109520538,-1,-1,-2,-1,0,0,-1,0
278109528725,-1,0,-2,-3,-1,0,0,0
278109528725,-1,-1,1,0,0,0,0,-1
278109543047,-2,-2,0,0,-2,-2,0,0
278109543047,-2,-1,-1,-1,-1,-4,0,0
278109559336,-1,-1,-2,0,0,-2,-2,0
278109559336,-1,-1,-2,-1,-2,-1,-1,-2
278109561072,-1,-1,-1,0,-2,-1,0,-3
278109561072,-2,-1,-1,-1,-1,0,1,0
278109565553,1,-3,-2,1,0,-1,-2,-1
278109565553,0,-2,-1,-1,-2,-3,0,1
278109580504,-1,0,-2,-1,-1,-1,0,-1
278109580504,-1,-1,0,-2,-1,-1,-1,-2
278109588879,-2,0,-1,-1,0,0,1,-2
278109588879,-1,0,0,0,-2,-1,-1,-1
278109603016,0,-2,-1,-1,-1,-2,0,-1
278109603016,-1,1,0,0,0,-1,-1,-1
278109611169,-3,-1,1,-1,0,0,0,0
278109611169,-1,0,-1,-1,-1,-1,0,-2
278109617973,-1,0,-2,-2,0,0,-1,0
278109617973,-1,0,0,0,3,-1,-3,1
278109625458,0,-2,-2,2,-1,-1,-1,-1
278109625458,-1,0,1,-1,-2,-1,1,0
278109641964,-2,0,0,-2,-3,0,-1,-1
278109641964,0,-2,-3,-1,-2,0,-3,-1
278109648711,-1,-1,1,0,-2,1,-2,-1
278109648711,-1,-1,-2,1,0,0,-4,-1
278109663121,0,-2,-1,-3,-2,-1,-2,0
278109663121,0,-1,-2,1,-2,-3,0,-2
278109671252,-2,0,-1,0,-1,-2,0,0
278109671252,1,-1,-1,-1,0,1,-1,-2
278109678137,-2,1,-1,1,2,1,-2,-2
278109678137,-2,0,-1,0,0,0,0,-2
278109685476,0,-1,-2,-1,0,-1,0,1
