timestamp,x,y,z
278109190476,1.5625,-0.4375,1
278109213344,3,-0.8125,1
278109228362,3,-0.8125,0.625
278109251875,1.375,-0.3125,0.1875
278109281267,0,0.0625,0
278109288315,0.0625,0.3125,-0.3125
278109342669,0,0.1875,-0.4375
278109344746,0.125,0.125,-0.125
278109365692,0.5625,-0.1875,0
278109372398,0.6875,-0.375,-0.1875
278109401335,0.25,-0.25,-0.375
278109412193,-0.5625,-0.125,-0.375
278109432284,-0.6875,-0.0625,-0.1875
278109468118,-0.5,-0.0625,0.125
278109478340,0.0625,0,0.3125
278109492018,0.8125,-0.25,0.4375
278109513070,1,-0.3125,0.1875
278109529571,0.625,-0.0625,0.0625
278109560216,0.1875,0.0625,0.125
278109573049,0.125,-0.0625,0.1875
278109589641,0.3125,-0.3125,-0.125
278109611964,0.875,-0.3125,0.125
278109641209,0.625,-0.1875,0.1875
278109649499,0.1875,-0.0625,0.0625
278109672250,0,-0.0625,0.0625
278109693058,0.4375,-0.125,0.0625
278109709470,0.875,-0.25,0.3125
278109732015,0.875,-0.25,0.375
278109753106,0.625,-0.1875,0.375
278109769531,0.75,-0.1875,0.1875
278109798918,1.25,-0.3125,-0.1875
278109813292,1.3125,-0.375,0.0625
278109835529,0.9375,-0.1875,0.1875
278109851980,0.4375,-0.3125,0.0625
278109874491,0.3125,-0.1875,0.125
278109889534,1.0625,-0.25,0.0625
278109912020,1.8125,-0.3125,0.25
278109934520,2,-0.25,0.5625
278109949450,1,-0.25,0.625
278109971997,-0.125,-0.125,0.1875
278109994549,-0.1875,-0.0625,-0.125
278110015655,0.25,0,0
278110033427,0.4375,-0.125,0.1875
278110054465,0.0625,0,0.25
278110075553,0.0625,0,0.0625
278110092000,1,0,-0.125
278110114611,1.625,-0.25,0.1875
278110135725,1.625,-0.375,0.125
278110152060,1.625,-0.4375,-0.3125
278110174483,1.375,-0.5625,-0.5
278110195629,0.75,-0.5625,-0.875
278110212008,0.4375,-0.5625,-1.375
278110234950,0.375,-0.3125,-1.0625
278110256947,1.625,0.1875,0.0625
278110273573,1.25,0.0625,0.125
278110294464,-0.5,0.125,0
278110315674,-0.375,-0.125,0.3125
278110332021,0.0625,-0.4375,0.125
278110354487,0.75,-0.5,0
278110375546,0.875,-0.375,0.25
278110400167,1.4375,-0.3125,0.0625
278110414488,2,-0.3125,0.1875
278110435693,2.6875,-0.4375,0.375
278110451990,3.125,-0.5625,0.5
278110483476,3.1875,-0.4375,0.375
278110495540,2.5625,-0.25,-0.1875
278110511909,2,-0.25,-0.1875
278110534494,1.875,-0.1875,0.0625
278110555538,1.4375,-0.0625,0.1875
278110572005,1.625,-0.1875,0.25
278110595989,1.9375,-0.375,0.0625
278110615679,1.5,-0.4375,-0.125
278110632209,0.75,-0.4375,-0.625
278110654563,0.1875,-0.1875,-0.875
278110677659,0.3125,-0.125,-0.8125
278110691199,0.375,0,-0.6875
278110713857,1.375,0.0625,-0.1875
278110736299,2.875,-0.25,0.3125
278110750955,3.1875,-0.5,0.5625
278110773718,2.0625,-0.5,0.375
278110796173,0.625,-0.4375,0.125
278110811159,1.125,-0.375,0.25
278110841231,1.0625,-0.4375,0.0625
278110856192,0.125,-0.5625,0.1875
278110871190,0,-0.1875,0.3125
278110893700,-0.0625,-0.25,0.375
278110924460,0.3125,-0.1875,0.375
278110931196,0.8125,-0.3125,0.5625
278110953706,0.75,-0.375,0.4375
278110976668,0.375,-0.5,0.4375
278110994142,-0.625,-0.625,0.1875
278111013818,-1,-0.8125,0.125
278111036365,-0.8125,-0.9375,0.75
278111052740,-0.0625,-0.875,1.125
278111073831,0.625,-0.6875,1
278111096182,0.4375,-0.375,0.75
278111118595,0.0625,0,0.5625
278111133687,0.625,0.3125,0.375
278111157619,1.1875,0.4375,0.6875
278111172672,1.625,0.375,0.8125
278111193698,1.25,0.375,0.5625
278111216865,0.3125,0.125,-0.0625
278111232714,0.1875,0.125,0.125
278111253734,0.0625,0.0625,0.375
278111276229,-0.25,0.25,0.25
278111292689,-1.1875,0.125,0.1875
278111313867,-1.8125,0.4375,0.5
278111343678,-1.75,0.3125,0.5625
278111352703,-0.75,0.3125,0.6875
278111373894,0.4375,0.25,0.8125
278111396241,1.125,0.0625,1.0625
278111413212,1.0625,-0.0625,1.0625
278111433775,0.9375,-0.375,0.9375
278111457651,1.1875,-0.4375,0.75
278111478781,1.625,-0.5,0.8125
278111494537,1.875,-0.5,0.6875
278111516194,1.6875,-0.5625,0.5
278111532635,1.125,-0.4375,0.1875
278111553722,0.6875,-0.3125,0.0625
278111576371,0.5,-0.125,-0.3125
278111591968,0.25,0.0625,-0.25
278111613716,0.1875,0.125,-0.25
278111636310,-0.0625,-0.0625,-0.125
278111651949,-0.1875,0,0.125
278111673815,-0.25,-0.25,0.375
278111703856,-0.0625,-0.375,0.5
278111718855,0.0625,-0.4375,0.375
278111733700,0.5,-0.25,0.1875
278111756167,0.875,-0.1875,0
278111772110,0.625,-0.25,-0.125
278111793890,0.4375,-0.375,0.0625
278111817650,0.5,-0.375,0.0625
278111832181,0.8125,-0.25,0
278111853717,1.125,-0.1875,-0.0625
278111876380,0.6875,-0.125,-0.1875
278111898742,-0.6875,0.125,-0.1875
278111915155,-1.25,0.3125,-0.375
278111936199,-0.5,0,-0.125
278111952012,0.5625,-0.25,0.1875
278111982618,1.125,-0.375,0.3125
278111996192,0.75,-0.3125,0.1875
278112011932,-0.1875,-0.1875,0.0625
278112035605,-0.1875,-0.0625,-0.0625
278112056710,0.0625,0,-0.0625
278112071988,0.6875,-0.125,0.4375
278112095342,1.125,-0.5625,0.5625
278112116226,1.375,-0.6875,0.75
278112132033,1.375,-0.6875,0.8125
278112155571,0.3125,-0.4375,0.6875
278112177584,-0.3125,-0.3125,0.5
278112215720,-0.4375,-0.125,0.4375
278112218079,-0.6875,0.0625,0
278112237662,-1.1875,0.3125,-0.125
278112260097,-1.375,0.4375,-0.1875
278112275225,-1.3125,0.625,-0.125
278112296313,-0.875,0.5625,0.125
278112318718,0,0.25,0.1875
278112335193,1.0625,0.0625,0.3125
278112356206,1.6875,-0.0625,0.5625
278112378708,2.0625,-0.125,0.1875
278112395089,1.5625,-0.1875,-0.0625
278112416189,0.6875,0.0625,-0.125
278112438882,0.9375,0.125,-0.0625
278112455163,0.75,0.25,-0.125
278112476322,-0.125,0.375,0
278112498927,0.125,0.625,0.625
278112515130,0.625,0.1875,0.9375
278112536313,0.875,0,0.9375
278112560258,0.75,-0.25,0.8125
278112575153,0.0625,-0.5,0.8125
278112596345,0.1875,-0.4375,0.75
278112618850,0.5625,-0.5625,0.75
278112635186,1.5,-0.5625,0.75
278112656215,2.0625,-0.5625,0.75
278112678832,1.625,-0.5625,0.5625
278112694669,0.9375,-0.375,0.5625
278112716363,0.375,-0.25,0.375
278112740181,0.4375,-0.125,0.25
278112754485,0.0625,-0.125,-0.0625
278112776191,-0.4375,0,-0.1875
278112806202,-0.625,0,-0.25
278112814514,0.1875,-0.0625,-0.3125
278112836309,0.4375,-0.0625,0.3125
278112858649,0.4375,-0.25,0.0625
278112874503,1,-0.4375,0.3125
278112897415,1.1875,-0.625,0.4375
278112918673,1.25,-0.5,0.1875
278112934620,0.125,-0.4375,-0.1875
278112965172,0.125,-0.1875,-0.25
278112978856,0.6875,-0.0625,0.125
278112994475,1.5625,-0.0625,0
278113017569,1.75,-0.125,0.375
278113038628,1.75,-0.4375,0.375
278113054399,2.4375,-0.625,0.3125
278113078013,2.0625,-0.625,0.125
278113098581,1.5625,-0.5,0
278113114450,1,-0.5625,0.0625
278113137587,0.5625,-0.5,-0.1875
278113158648,1.1875,-0.4375,0
278113174378,1.25,-0.75,-0.0625
278113197562,1.125,-0.5,-0.125
278113218630,0.6875,-0.1875,-0.125
