timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
278410759474,0,-2,-1,0,-2,-2,-1,-1
278410759474,-1,-2,-1,-1,-1,-1,-2,0
278410761522,-2,-2,-2,-1,-1,-3,-1,0
278410761522,-3,1,-2,0,0,0,0,0
278410762852,-1,0,-1,1,0,0,1,1
278410762852,0,-1,0,0,-3,-2,-1,-2
278410780299,0,0,-2,-2,-3,-2,-2,-1
278410780299,0,-2,-2,-1,0,-1,-1,0
278410782012,-1,0,-1,0,0,-1,-1,-1
278410782012,-1,-2,0,0,-3,-2,0,-1
278410785346,0,0,-1,-1,-1,-1,-1,-1
278410785346,-2,-1,-2,-1,0,-1,0,1
278410786168,-1,-1,1,-2,-1,0,0,-1
278410786168,1,0,1,-3,-2,-3,-1,0
278410800293,-2,-2,-1,-2,-1,-1,-2,0
278410800293,1,0,1,-1,0,0,-2,-1
278410809621,0,-1,0,2,1,2,1,1
278410809621,-1,-2,0,-2,-2,0,-3,-2
278410815275,-2,1,-2,0,0,-2,0,-2
278410815275,-1,-1,-2,-1,0,0,-2,-1
278410831001,1,1,-1,-4,-1,-3,-1,0
278410831001,-1,-1,-3,0,0,-1,-2,0
278410838992,-1,-1,-1,0,-2,-1,-2,-1
278410838992,-1,-1,-1,-1,-2,0,0,0
278410854094,1,0,-1,-1,-2,0,-2,0
278410854094,-1,-2,-1,0,-1,-2,0,0
278410884017,-1,-1,-2,0,0,-1,0,-1
278410884017,0,0,-1,0,-1,0,-1,-2
278410891955,0,-3,-1,0,2,0,-1,-2
278410891955,-2,0,-2,-1,0,-1,-1,-1
278410892634,-1,-1,1,0,0,0,2,1
278410892634,-1,-2,-1,-1,0,1,0,-1
278410897653,0,-1,0,-2,-4,-2,-1,-2
278410897653,0,-1,-2,-2,-2,-3,-1,-1
278410905077,0,-1,-1,-1,1,-1,-1,-2
278410905077,-1,0,0,0,-2,0,0,1
278410928986,-2,-1,0,1,0,0,0,-1
278410928986,0,-3,-2,-3,-2,-1,-1,-1
278410929711,0,0,-2,-1,-1,-2,-2,0
278410929711,-1,0,0,-1,1,-3,-2,0
278410935061,-2,-1,1,-1,-2,0,-1,0
278410935061,-2,0,-2,0,-1,-2,0,0
278410942592,-2,-1,-1,-1,0,0,0,-1
278410942592,-1,-1,-2,0,-1,0,0,0
278410959040,-1,-1,-1,-2,-1,-1,-1,-1
278410959040,-1,-1,0,-1,0,-1,0,-1
