timestamp,x,y,z
278410575948,0.3125,-1.0625,0.125
278410576769,0.25,-0.875,-0.0625
278410590270,0.25,-0.625,-0.25
278410613902,0.375,-0.4375,-0.4375
278410629011,0.0625,-0.1875,-0.8125
278410659043,-0.125,0,-1.0625
278410680826,-0.5625,0.4375,-0.75
278410703943,-0.125,0.375,-0.6875
278410710368,0.0625,0.3125,-0.625
278410748927,-0.8125,0.6875,-0.25
278410757710,-1,0.6875,0.25
278410784121,-0.25,0.5,0.25
278410794004,0.1875,0.25,0.5
278410811868,0.5,0,0.3125
278410831816,0.5,-0.1875,0
278410855749,0.1875,-0.125,0.25
278410883422,0.125,0,0.3125
278410893610,0.625,-0.1875,0.3125
278410913747,0.25,-0.1875,0.125
278410930732,-0.0625,-0.3125,0.125
278410958453,-0.1875,-0.3125,-0.0625
278410974750,-0.125,-0.3125,-0.1875
278410987798,0,-0.1875,-0.375
278411010862,-0.0625,-0.1875,-0.5
278411034654,-0.125,0,-0.625
278411057380,-0.1875,0.1875,-0.5
278411070948,-0.4375,0.25,-0.3125
278411093417,-0.25,0.125,-0.0625
278411107739,0,-0.1875,-0.125
278411130823,-0.0625,-0.1875,0.125
278411161530,-0.125,-0.1875,0.1875
278411167555,-0.125,-0.25,0.375
278411190216,0.125,-0.1875,0.25
278411213266,-0.125,-0.3125,0.125
278411235711,-0.1875,-0.3125,-0.25
278411258334,-0.6875,-0.25,-0.375
278411273084,-0.625,-0.1875,-0.3125
278411287667,-0.4375,-0.0625,-0.1875
278411311568,-0.3125,-0.0625,-0.1875
278411334689,-0.3125,-0.125,-0.25
278411347630,-0.125,-0.3125,-0.1875
278411370312,0.1875,-0.5,-0.4375
278411393434,0.25,-0.4375,-0.5
278411417247,0.0625,-0.4375,-0.375
278411438310,0,-0.5625,-0.3125
278411461001,-0.0625,-0.5,0
278411469048,-0.0625,-0.3125,0.1875
278411490105,0.375,-0.375,0.0625
278411513280,0.1875,-0.25,0
278411535721,0.25,-0.25,-0.0625
278411550064,0.125,-0.0625,0.4375
278411573294,-0.3125,0.1875,0.875
278411589092,-0.0625,0.0625,0.875
278411611585,0.25,-0.25,0.5625
278411633019,0.25,-0.375,0.4375
278411649181,0.0625,-0.25,0.1875
278411670289,-0.3125,0,-0.125
278411693329,-0.625,0.25,0
278411709721,0.1875,0.3125,-0.3125
278411730328,0.6875,-0.0625,-0.5
278411753492,0.375,-0.4375,-0.625
278411769121,-0.25,-0.375,-0.5
278411791615,-0.375,-0.25,-0.5
278411813325,-0.1875,-0.5,-0.375
278411843898,-0.375,-0.1875,-0.0625
278411850102,0.125,0.0625,-0.0625
278411872791,0.375,-0.0625,0.0625
278411890576,0.0625,-0.0625,0
278411910091,-0.4375,-0.25,0.0625
278411940992,-0.5,-0.4375,-0.0625
278411963096,-0.125,-0.3125,0.125
278411973104,0.1875,0,0.25
278411994127,0.375,0,0.0625
278412009254,0.125,-0.125,-0.1875
278412038296,0.0625,0,-0.25
278412069721,-0.25,0,-0.1875
278412072040,0.25,0,-0.375
278412093515,0.0625,-0.0625,-0.5
278412120884,0,0.1875,-0.75
278412135154,0,0.1875,-0.6875
