timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
278561229476,-2,0,-1,-2,0,1,0,0
278561229476,1,0,-2,-1,-2,-2,-1,1
278561230288,0,-1,0,-1,-3,-2,-2,-3
278561230288,0,-1,-2,-1,-2,-1,-2,-3
278561234238,1,-2,-1,0,-1,1,0,-1
278561234238,-2,0,-2,0,0,0,1,-1
278561235846,0,-2,-2,1,-2,-1,-1,0
278561235846,-1,-1,-1,-2,-2,-2,-1,-1
278561239998,-1,-1,-2,0,0,1,-2,-2
278561239998,-1,-2,-1,-2,-1,-1,0,0
278561248708,-1,0,-1,0,-1,0,-1,-1
278561248708,0,0,0,-1,0,0,-2,0
278561263919,-1,0,-3,1,0,-3,-2,-1
278561263919,-1,0,0,1,1,-2,0,0
278561279609,-1,-2,0,-1,-1,-3,-2,-1
278561279609,-1,-2,-1,-1,-2,-2,-2,-1
278561281841,0,-1,0,-2,-3,1,0,0
278561281841,1,-1,-1,-2,-2,3,0,0
278561294903,1,-2,-2,-3,-1,-1,1,-2
278561294903,-1,-3,-2,1,1,-2,-1,-1
278561301635,0,-1,1,0,0,-2,0,-1
278561301635,-2,-2,-1,2,-1,-1,-2,-1
278561348081,-1,0,-2,-4,-1,0,-2,-2
278561348081,1,0,-1,-1,-2,-1,-1,0
278561348935,-2,-2,-2,0,-1,1,0,0
278561348935,-2,0,1,2,-2,0,0,-3
278561349726,-3,0,1,0,0,-1,1,0
278561349726,0,0,-3,-3,-1,-3,-4,-2
278561352995,0,0,-1,-2,-2,-3,-1,0
278561352995,0,-1,-1,0,-1,-5,-1,1
278561359798,0,-1,-1,-4,-1,-4,-1,-3
278561359798,-2,-2,-1,-1,0,-1,2,-1
278561367376,1,-1,-1,-1,-1,1,0,-1
278561367376,0,-1,-1,0,-1,4,-1,-2
278561376391,0,1,-1,2,0,0,-1,0
278561376391,-3,1,0,0,0,1,1,1
278561390717,0,0,1,-1,-2,0,-1,-2
278561390717,-1,-1,-1,1,-2,1,0,-1
278561397380,-2,-2,0,1,-1,-1,0,1
278561397380,0,-2,0,-3,1,-2,-2,0
278561413153,0,-1,-1,-2,1,-3,-1,-2
278561413153,0,-1,-1,-3,0,-3,-2,-1
278561419959,1,-1,-2,-1,-1,0,0,-1
278561419959,0,-1,0,0,-1,0,0,0
278561436300,-2,0,0,0,-1,0,0,-1
278561436300,-2,-1,-2,-2,-2,-3,0,0
278561437869,-1,-2,-2,-2,0,-1,-1,0
278561437869,0,0,-1,-1,-1,1,-1,-1
278561450617,-1,1,-1,-3,-1,-1,-1,-1
278561450617,-1,-2,-2,-1,-2,-1,-3,-3
278561457539,-2,0,-1,0,-2,-1,0,0
278561457539,-2,-1,-2,1,1,1,-2,-1
278561473218,-1,-2,-2,0,-2,-3,-3,1
278561473218,-2,-1,-2,0,-2,2,-1,1
278561479907,0,-1,-1,-1,0,0,-2,-3
278561479907,0,0,-1,1,-1,-2,1,-1
278561487519,-1,1,0,-1,-1,-3,-1,-2
278561487519,1,-1,-1,-3,0,-4,-3,0
278561496435,-1,-1,-2,-3,-1,0,-1,0
278561496435,0,0,-1,-1,-2,-2,-1,0
278561510708,-1,-5,-2,0,1,0,-1,-1
278561510708,0,0,0,-1,1,0,0,-1
278561517509,-1,-1,-1,1,0,0,-3,-1
278561517509,-1,0,0,0,-2,-1,-3,-3
278561533091,-2,0,-1,1,-3,-2,1,1
278561533091,-1,-1,-3,-1,-1,1,0,1
278561556944,1,-1,-3,-3,-1,-1,-2,-1
278561556944,-2,-2,0,-1,1,0,0,-1
278561557788,0,0,0,0,1,0,-1,0
278561557788,-1,-1,0,0,0,-1,-3,-1
278561559230,-2,-1,0,1,0,0,0,-2
278561559230,1,-1,-1,0,-1,-2,0,-1
278561570619,0,1,0,-1,-4,-2,-2,-1
278561570619,0,-1,-2,-2,-1,-3,0,-1
278561577571,-1,0,-2,0,-1,-2,-2,-2
278561577571,-1,-1,-1,-2,2,1,-1,-1
278561593632,0,-1,0,1,1,2,3,-1
278561593632,-1,-1,0,-3,0,2,0,-2
278561600011,-2,-1,-2,-1,-2,0,-2,-1
278561600011,-2,-1,-3,-2,-3,-2,0,0
278561607605,-1,-3,-2,-2,-2,0,-1,-1
278561607605,-1,1,-1,-1,-3,-3,-1,-1
278561616371,-1,-1,0,-1,1,-1,1,1
278561616371,1,-2,-2,-2,-1,1,-1,0
278561631356,-1,-2,-1,0,-1,-3,-1,-2
278561631356,-1,1,-1,-2,-2,-3,-2,-3
278561637550,0,-2,0,-1,1,-1,-3,0
278561637550,0,1,-1,0,2,-2,0,-1
278561653115,1,-1,-1,-3,-1,-3,1,-1
278561653115,-3,-1,-1,-1,0,0,-2,-2
278561659803,0,0,-2,-1,-2,-1,0,-2
278561659803,0,-1,0,0,-1,2,0,-1
278561667428,-3,-1,0,-1,0,3,0,-4
278561667428,-1,0,-3,0,0,-2,-3,0
278561676397,0,-1,0,-1,0,-2,0,0
278561676397,-1,0,-1,-1,0,-4,-2,-1
278561690689,-1,-1,-1,0,0,-1,1,-1
278561690689,-2,-2,1,-1,-2,-1,0,1
278561697445,-1,-1,-1,0,-3,0,-1,1
278561697445,-1,-1,-1,0,-2,0,-1,2
278561713744,-1,-2,-1,-1,0,-2,-3,0
278561713744,0,-1,-1,1,0,-3,-2,0
278561719881,-1,0,-1,-1,-1,0,0,-3
278561719881,0,0,-1,-1,-1,-1,-1,-1
278561727442,-1,1,-1,-1,0,0,-1,-1
278561727442,-1,-3,0,-1,-2,0,1,0
278561742421,-2,0,-1,-2,-2,-2,-1,-3
278561742421,-1,0,-2,-1,-2,-1,-2,0
278561749864,0,-1,-2,1,0,3,1,-1
278561749864,2,-1,-1,-2,-2,-1,0,-1
278561758944,-1,0,0,0,0,-4,-1,-1
278561758944,-1,-1,-1,-1,0,1,1,-1
278561773317,1,-2,-1,-2,0,-1,-3,1
278561773317,0,0,1,0,0,1,-2,-1
278561779949,-2,0,-2,-1,-3,-1,-3,-1
278561779949,0,-1,0,0,-1,-2,-1,-2
278561787467,-1,-3,-1,-1,-3,-1,0,1
278561787467,-2,-3,-2,0,1,-1,-2,-1
278561802389,-1,-1,-1,0,-1,1,0,1
278561802389,-2,1,0,-2,-2,-4,-2,-2
278561809994,-2,0,0,-3,-1,-3,0,-2
278561809994,-1,-1,0,0,1,-1,-1,-1
278561818858,0,-1,-1,1,0,0,-1,-1
278561818858,-2,-1,-1,-3,-2,-1,-1,-1
278561833626,0,0,0,1,0,-1,-3,-1
278561833626,-2,-1,-1,-3,-2,0,0,0
278561839952,-2,-1,-1,-3,-1,2,-2,-1
278561839952,1,-1,0,1,-2,-3,0,0
278561847344,0,0,-2,-1,-1,0,-1,0
278561847344,-1,-2,-2,-1,-1,-2,-2,-1
278561862491,1,0,0,-2,-1,0,-1,0
278561862491,-3,-1,-2,0,-2,2,0,0
278561869910,-2,0,-2,0,-2,-4,0,-1
278561869910,-2,-1,0,-1,-2,-1,-1,0
278561878893,0,0,-3,0,-1,-2,-1,0
278561878893,2,0,-1,-1,0,-2,-2,0
278561893169,-1,-2,-2,-2,0,-1,-2,-1
278561893169,3,0,-1,-1,-1,-1,-1,-1
278561899788,0,-2,0,-2,-2,-1,-1,-1
278561899788,-1,-1,0,-1,2,2,-1,-1
278561907450,-3,-1,1,-1,1,-2,-1,-2
278561907450,-1,0,-1,-3,0,-4,-1,0
278561922500,0,-1,-1,-1,1,0,0,0
278561922500,-1,-1,-1,0,-1,1,-1,0
278561929946,-1,-1,-1,-1,-2,0,-2,0
278561929946,-2,0,-1,1,-1,-1,-2,-2
278561938872,-2,0,0,1,-1,-4,-3,-1
278561938872,-2,0,0,-2,-1,-1,-2,-3
278561953537,-1,0,-1,0,0,3,1,-1
278561953537,-1,0,-2,-2,-3,-2,-1,-1
278561959987,0,-3,-2,-2,-1,1,1,-1
278561959987,0,-1,-2,-1,0,-2,-3,0
278561967513,1,1,0,-2,0,-1,-1,0
278561967513,-1,-2,-1,-3,-1,-1,2,-3
278561990709,0,0,0,-1,0,0,-2,-1
278561990709,-1,0,-1,-1,-2,-1,0,-1
278561991336,-1,-1,-2,1,-2,0,-2,-2
278561991336,0,-1,0,1,-1,2,0,-1
278561998876,0,0,-1,-1,-3,-4,-2,1
278561998876,0,-1,0,0,1,1,-1,-1
278562013177,0,-1,1,1,1,-1,-1,-1
278562013177,-1,-1,-2,0,0,-3,-2,-2
278562028220,-1,-1,-2,1,-4,-1,-3,-1
278562028220,-1,-3,-1,0,-3,0,-2,0
278562028903,0,-1,-1,0,-1,-1,2,0
278562028903,-3,-2,-2,0,0,2,-2,-1
278562042328,-1,-1,-1,-1,1,0,1,-1
278562042328,-1,0,1,0,0,2,-1,0
278562049992,-1,-2,-1,0,0,-1,-1,-1
278562049992,1,0,-1,-1,-1,-2,-2,-2
278562058867,-2,-2,-1,0,1,-3,0,-2
278562058867,0,0,0,-1,-3,-1,0,0
278562073058,-2,-2,-2,-1,-2,-1,-3,-1
278562073058,1,2,0,1,-1,2,0,-2
278562079950,-1,0,-1,0,0,-1,-1,-1
278562079950,1,0,-2,-1,-1,-1,-1,-1
278562087510,0,-1,-2,-2,-1,-2,-1,-1
278562087510,0,-1,0,-3,-2,-3,-2,-1
278562110709,-1,-1,-2,-1,0,0,-1,-2
278562110709,0,0,-1,-2,-1,-1,0,0
278562111351,-1,-2,-2,0,2,-1,0,-1
278562111351,0,0,-2,-2,2,-1,-2,0
278562118880,-1,-3,1,-1,-1,-1,-1,-1
278562118880,-2,-1,-3,-3,-2,-2,-1,-1
278562133243,0,1,0,-1,0,0,-3,-1
278562133243,-1,-1,0,1,-1,2,2,0
278562148163,-2,-1,0,0,-2,-1,-1,-1
278562148163,0,-3,1,1,0,-3,-2,-2
278562148916,-1,0,-2,-2,-3,-1,0,0
278562148916,-1,-1,-1,-1,0,-3,-2,-2
278562162515,0,0,-1,-2,0,-1,-2,0
278562162515,-1,-1,-3,-1,0,-1,-1,-1
278562169901,-1,0,-1,-1,1,-1,-1,-1
278562169901,-1,-2,-1,-3,-2,1,-1,0
278562178897,0,0,1,-1,-1,0,1,-1
278562178897,0,-1,0,0,0,0,-1,-2
278562193204,-2,1,-1,-2,-3,-2,-1,-2
278562193204,0,-1,0,-2,0,-1,-1,-2
278562199906,0,0,-2,-1,0,1,-2,-1
278562199906,-1,-1,0,0,1,-1,-1,-1
278562207449,0,0,-2,0,0,0,0,0
278562207449,-1,-2,-2,0,-2,-2,-1,1
278562230551,-2,1,-2,-1,0,-2,-4,-2
278562230551,-1,0,0,-1,1,-1,-1,-2
278562231495,-1,-1,-2,-2,-1,1,-1,0
278562231495,2,1,1,-2,0,0,0,0
278562238910,-1,-1,-2,-1,-2,-2,0,0
278562238910,-1,-1,0,-1,0,0,-1,-1
278562253117,-4,-1,-1,0,0,-1,-1,-1
278562253117,-3,0,-1,-1,0,1,0,-2
278562268004,-1,-3,-1,0,1,1,0,-2
278562268004,0,1,-2,-2,-3,-2,-2,-1
278562268828,1,-1,-1,-3,-1,-2,-1,-1
278562268828,-1,-1,-3,1,0,-1,-2,-1
278562282397,-2,1,1,0,-2,-2,-1,1
278562282397,0,-2,-1,-1,-2,-1,2,-1
278562289850,1,0,1,1,0,-3,-2,-2
278562289850,1,0,2,0,-1,0,-2,-3
278562298855,5,0,0,-1,0,0,0,-1
278562298855,-2,0,-1,0,-2,-2,-2,-1
278562313284,0,-1,0,-1,-3,0,-1,0
278562313284,-2,-3,-1,0,-1,1,1,-2
278562319851,-3,-2,-3,-2,-1,1,-1,-1
278562319851,4,-1,0,-2,-1,-3,-4,-1
278562335716,-2,1,1,0,1,-2,-2,-1
278562335716,0,-1,-2,-1,-1,-2,0,1
278562342394,-1,-1,-2,-1,0,0,0,-2
278562342394,-2,-1,-2,-1,1,1,1,0
278562358726,-3,0,1,0,0,1,0,-1
278562358726,-1,-1,-1,0,1,-1,-1,-1
278562360423,0,-1,0,-1,-2,-1,-1,0
278562360423,-3,0,-1,-2,-1,-2,-1,-1
278562373072,0,-1,-2,-1,-3,2,2,-3
278562373072,-3,0,-1,0,-2,-1,-2,0
278562387410,-1,0,0,-1,2,1,0,0
278562387410,0,-2,-1,-1,0,0,-1,2
278562395696,1,-2,0,-2,0,-2,-4,1
278562395696,-2,-2,-1,-3,-1,-2,0,-2
278562402411,-2,-1,-1,-1,-1,-2,0,-1
278562402411,-3,-1,-2,-1,-2,-1,-2,-2
278562426271,-2,-1,0,0,0,2,0,-3
278562426271,-1,1,-1,-2,-2,0,-2,1
278562427868,4,0,-1,-2,-3,-1,-2,-1
278562427868,-1,-1,-1,-1,-1,-1,2,0
278562432497,0,0,-2,-1,0,-1,1,-3
278562432497,-2,-2,-2,-1,0,-2,-3,-2
278562441383,-2,-1,1,0,-1,0,2,-3
278562441383,-2,1,-1,-1,-1,-1,-1,0
278562455568,-2,-2,0,-1,-1,0,0,-1
278562455568,1,-2,-2,1,0,-1,0,0
278562462509,-4,-4,-4,-1,-2,-2,-4,-5
278562462509,11,7,0,-2,0,-2,-2,1
278562478881,-6,-3,-1,-2,-1,-2,0,2
278562478881,-4,-1,1,0,0,-2,-1,1
278562480339,0,-2,2,0,1,-1,1,-10
278562480339,-3,-3,2,0,-1,0,-1,1
278562492570,3,0,-4,-1,-2,1,2,-1
278562492570,1,0,-3,-2,0,2,-1,-3
278562501373,-11,-5,-3,-1,-1,-3,-3,-1
278562501373,4,-2,-2,-1,0,-1,-2,-2
278562515511,5,0,-1,-1,0,-1,-1,4
278562515511,-3,0,-1,-2,-2,0,0,-3
278562530075,0,0,-1,0,0,2,-1,1
278562530075,-8,-4,0,1,-1,-2,-3,-4
278562546356,-2,-5,-1,-1,-1,-4,0,1
278562546356,3,5,0,-3,-1,-1,0,3
278562547849,0,-1,-1,-1,-1,-2,-2,5
278562547849,-5,-2,-2,-1,-1,1,0,-1
278562552326,2,2,-1,0,-1,-2,2,-6
278562552326,5,0,1,1,0,5,0,3
278562561406,0,-6,-1,-2,-3,-6,-4,4
278562561406,-5,-1,-1,-1,-3,-2,-1,-6
