timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
278929130018,-1,0,0,1,1,0,-1,-1
278929130018,-1,-1,-1,-2,-2,-1,-1,0
278929130647,-2,0,-1,-1,-3,-3,-3,-1
278929130647,-1,-1,-1,-1,0,2,2,-1
278929131617,-2,0,-1,0,1,-2,-1,1
278929131617,-2,-2,-2,-2,1,0,0,0
278929132254,-2,-1,-3,-1,1,0,-1,0
278929132254,-1,-2,-1,-2,-3,-1,-1,-1
278929155059,0,-1,-1,-1,-1,0,0,-2
278929155059,-1,-2,0,-1,0,0,0,-2
278929155881,1,0,-1,-2,-1,0,-1,-2
278929155881,-1,0,-2,-1,-1,-2,-2,1
278929158058,-2,0,-1,-1,-2,-2,0,-1
278929158058,-1,-1,-2,-1,1,0,-2,-1
278929165798,-1,-1,0,0,0,1,2,-2
278929165798,0,-1,1,-1,-1,0,-1,-1
278929189101,-2,-1,-2,-3,-1,-2,-3,0
278929189101,1,-1,0,0,-2,0,0,-2
278929190650,-3,-2,-1,-2,0,-1,-1,0
278929190650,-2,-1,-1,-2,-2,0,-2,-2
278929194883,0,0,0,-2,-2,-1,-2,0
278929194883,-1,-1,-1,-1,-1,-1,-1,-1
278929220550,0,-2,-2,-1,0,0,-3,-2
278929220550,-2,0,1,1,-1,-2,0,-1
278929223372,0,1,0,1,0,-1,-1,-1
278929223372,-1,-1,-2,-2,-1,-3,0,-1
278929225573,0,-1,-1,0,-1,0,-1,-1
278929225573,-1,-2,-1,-2,-3,-3,-2,0
278929233554,0,0,-1,0,-1,2,-1,-2
278929233554,0,1,-2,0,0,-1,0,0
278929256826,-2,-2,-1,-2,-2,0,-1,1
278929256826,0,-1,-1,-1,1,-1,-1,0
278929273280,-1,-2,-1,-2,-1,-2,-1,0
278929273280,-1,1,-3,-2,-1,-1,-2,-1
278929274194,-2,-2,-3,0,-1,0,-1,-1
278929274194,0,-1,-2,0,-2,-2,-1,-1
278929285171,-1,-2,-2,-1,-2,1,1,-1
278929285171,-1,0,-1,0,-1,-2,-1,0
278929326427,0,0,-1,-2,0,-3,-1,-1
278929326427,0,0,-1,-1,1,1,-2,-2
278929327344,-1,-2,-1,0,0,-1,-2,-3
278929327344,-1,1,0,1,0,-1,-1,-1
278929347310,-1,-1,1,-2,-3,1,0,0
278929347310,0,-1,0,-2,-2,-1,-1,-1
278929347972,-2,-1,-3,-4,0,-1,-1,1
278929347972,-3,-2,0,0,0,-4,0,-2
278929349641,0,-2,-1,-2,1,4,1,-2
278929349641,-1,-1,-1,-1,-1,0,0,0
278929353518,0,-2,-1,0,-2,0,-4,-2
278929353518,0,-1,-1,-2,-2,-1,0,0
278929354949,-1,1,-1,-1,-3,-1,1,1
278929354949,-1,0,-2,1,0,-1,0,-2
278929377087,0,-3,-4,0,0,-3,1,1
278929377087,-1,-2,-2,-1,-2,-1,-3,1
278929407387,0,-1,-3,0,1,1,-1,0
278929407387,-2,-3,-2,-1,0,-1,1,0
278929408075,-1,1,-1,2,0,1,0,-2
278929408075,0,0,-2,-1,-1,-1,-1,-2
278929409685,1,-1,1,0,2,-2,-2,1
278929409685,-1,-1,-1,1,-2,-2,-2,-2
278929413418,-2,0,0,-1,-1,-3,0,0
278929413418,-1,0,1,0,0,2,-1,1
278929415001,1,-1,-1,0,1,-1,-1,-1
278929415001,1,0,1,-1,1,-2,-2,-1
278929428576,-1,0,1,-1,1,2,0,0
278929428576,1,-2,-2,-1,-4,-1,-2,-2
278929430089,-2,-3,-2,1,-2,-4,-3,-2
278929430089,-1,-1,-2,-1,-2,0,1,0
278929467263,0,-1,1,-1,0,0,1,-1
278929467263,-1,-1,0,-2,-1,-1,0,0
278929468824,1,-1,0,0,-1,-2,-1,0
278929468824,-1,0,-1,0,1,2,-1,-2
278929469615,-3,-1,-2,0,-1,-2,-2,-1
278929469615,-2,-2,-1,-2,1,-1,-1,-2
278929473621,1,-2,-1,-1,-1,-3,-1,0
278929473621,0,-1,-2,-3,-2,-3,-2,-2
278929497418,-1,0,0,-3,1,1,-1,-2
278929497418,1,-1,-1,-1,-1,-9,-4,-2
278929498858,-2,0,-1,-2,-2,0,1,-1
278929498858,-2,-3,-3,0,-1,-2,1,1
278929511562,-3,-4,-3,-3,-2,3,-1,-1
278929511562,-2,7,0,0,2,2,-1,1
278929513199,-1,0,0,-1,1,-2,-1,-2
278929513199,-2,0,0,-2,0,0,2,0
278929533474,-1,-2,0,2,-3,-5,-1,-2
278929533474,-2,-3,-1,-2,-2,-5,0,-3
278929534997,0,0,-1,0,-2,1,-4,-4
278929534997,0,0,-1,0,1,0,2,4
278929548434,0,-1,-1,-3,-3,-1,-2,0
278929548434,2,1,0,1,0,2,1,-3
278929550116,-3,-1,-3,-2,-2,-6,-2,-1
278929550116,-3,-7,-5,-1,-2,1,0,-4
278929562674,4,-4,0,0,0,-2,-1,2
278929562674,-3,2,-3,-2,-2,-2,-1,2
278929587402,-1,-2,-1,1,-1,2,-3,-5
278929587402,1,0,1,-1,0,3,6,0
278929588344,-2,-2,-3,-1,-2,1,-8,-3
278929588344,1,-6,-1,0,1,0,-2,0
278929600265,-7,-2,-1,0,1,2,2,-1
278929600265,1,0,2,0,-2,-2,-2,-3
278929600984,3,4,2,0,-3,1,11,4
278929600984,-4,-7,-4,-1,-3,2,-5,5
278929622732,0,3,1,-3,-2,-2,-5,-3
278929622732,5,-7,3,-1,0,4,3,1
278929623485,3,2,-8,-1,1,-1,-1,-2
278929623485,0,-4,1,0,-2,-3,-6,-18
278929631064,-7,4,-4,0,3,5,4,5
278929631064,-12,2,5,-1,-1,-6,-11,-13
278929654223,14,-1,-2,-4,-2,3,4,20
278929654223,-12,-13,-2,-2,1,8,5,-3
278929655727,21,14,-1,-1,1,-3,0,2
278929655727,-10,-8,-1,-1,-2,-9,-3,-1
278929668461,3,14,5,1,0,10,0,-3
278929668461,-6,-9,-5,-4,-8,-27,-20,4
278929670042,-9,4,-1,-13,-3,8,13,-15
278929670042,2,-4,-1,2,3,-3,-1,1
278929692169,2,5,-8,0,2,2,2,-6
278929692169,-1,2,0,-9,-4,5,2,3
278929693672,4,-2,17,10,1,-4,0,2
278929693672,-29,-18,-27,0,-3,-3,-4,-12
278929705323,8,-3,1,-3,0,-4,-13,-10
278929705323,6,-9,-1,5,3,5,7,42
278929712086,26,19,-2,-12,-7,-5,10,3
278929712086,-44,-8,7,-4,1,7,-11,-21
278929719814,24,0,-2,7,1,-2,3,-3
278929719814,8,9,5,3,0,2,-4,-23
278929744234,-10,-20,2,6,3,4,9,14
278929744234,7,21,8,6,-5,-2,6,6
278929745024,-6,-1,-2,-7,2,0,-3,-5
278929745024,22,7,5,7,-2,-5,8,11
278929781326,-7,-11,-3,-3,0,-2,-17,-4
278929781326,13,5,-8,-4,-1,-5,-1,-4
278929782044,-15,-3,9,0,0,14,-17,4
278929782044,-6,9,4,-3,-3,4,-1,0
278929790620,-24,-42,-23,-5,-6,-21,-10,-40
278929790620,-11,10,9,-10,-1,2,10,22
278929791458,27,10,14,-3,-1,-7,4,7
278929791458,-12,1,-16,1,7,17,8,-10
278929827298,25,19,9,31,11,8,-2,27
278929827298,10,-23,-6,-6,-8,-21,-24,-33
278929827989,-47,6,-10,-57,-14,-8,14,11
278929827989,-27,-24,-2,45,6,1,-11,-5
278929829619,62,31,28,3,6,16,20,19
278929829619,37,2,-32,17,4,4,5,6
278929849657,-67,-31,-7,3,-10,-16,-32,15
278929849657,2,-21,4,-10,5,4,25,3
278929851346,-2,7,-8,-12,-5,-2,-9,-14
278929851346,-61,-3,34,7,6,17,20,26
278929870733,50,-9,-18,-2,-4,-3,29,-16
278929870733,-8,-31,-8,-18,-9,-16,-26,-10
278929902252,-50,-36,-15,-3,-6,-2,-7,-23
278929902252,-49,9,-21,-15,-9,-13,-34,8
278929903071,45,56,34,31,12,4,3,1
278929903071,27,47,25,-2,1,7,9,-17
278929904685,20,-66,-28,14,-7,7,-14,7
278929904685,-41,31,13,-10,-6,-8,3,0
278929909842,-92,-49,4,12,0,7,2,-18
278929909842,48,34,-7,29,9,5,14,7
278929911393,-16,-22,8,-64,-6,30,30,2
278929911393,76,12,-19,29,-4,-29,-42,-16
278929932401,-32,25,82,19,35,83,49,31
278929932401,-57,-109,-74,-26,6,33,13,-7
278929933043,94,82,12,-21,-66,-112,-96,5
278929933043,66,85,72,28,31,76,25,16
278929947954,-65,-5,-5,22,-7,-10,6,-13
278929947954,109,37,-34,-51,8,11,-3,26
278929948853,-56,-88,-11,91,61,107,116,3
278929948853,36,-32,-37,-27,-52,-112,-105,-70
278929969751,50,51,16,-20,-8,-4,3,29
278929969751,-21,31,43,35,28,80,65,17
278929970584,-103,-107,50,-113,-60,-22,-46,-76
278929970584,-26,100,101,74,39,112,38,68
278929972176,16,-70,-100,28,-30,-106,-85,-33
278929972176,-29,27,85,16,1,49,41,23
278929982598,-19,-91,-79,-76,-17,-89,-55,-43
278929982598,59,60,20,72,-3,46,46,27
278929998510,-61,14,87,-48,-24,16,12,-2
278929998510,-38,-66,-123,52,12,-61,-57,5
278930022964,-17,49,127,-94,13,71,97,-27
278930022964,40,-53,18,53,-14,-36,-85,-6
278930024617,-35,48,-65,-2,-28,-47,-38,-7
278930024617,41,39,61,-48,13,56,105,82
278930029175,44,98,90,101,40,68,-45,-75
278930029175,-124,-98,-15,-120,5,59,28,-41
278930030773,67,-56,-73,-54,-9,-77,-93,-19
278930030773,-27,-38,104,-20,-54,-60,-87,-60
278930057487,86,78,18,-3,20,48,82,111
278930057487,-114,-41,-100,32,22,59,96,-4
278930066743,17,18,62,-3,13,25,-78,34
278930066743,71,44,-128,-12,-30,-17,-39,-97
278930067507,6,-8,-18,66,29,34,13,66
278930067507,39,1,90,16,-29,-21,20,2
