timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
278635898492,-1,-3,-2,-1,-2,-1,0,-2
278635898492,-1,-1,-1,-2,-2,-1,-2,-2
278635900572,0,-1,-1,-3,-1,-1,-2,0
278635900572,-2,0,0,0,-1,-1,-1,0
278635903712,-2,-3,1,1,-1,0,1,-1
278635903712,-1,0,-1,0,-4,-1,-9,-1
278635904507,-1,0,-1,0,-3,3,11,2
278635904507,-1,1,0,-1,0,2,1,-3
278635927754,1,-2,0,-2,0,-1,-2,1
278635927754,-1,-3,0,-1,1,-6,-3,0
278635929366,1,-2,-1,-1,0,-2,-5,0
278635929366,1,0,-1,0,-1,0,1,-1
278635932764,-1,0,-1,-2,-3,-2,-1,-1
278635932764,-2,-2,-2,0,-2,1,3,0
278635939524,0,-1,0,-1,2,-2,-3,-3
278635939524,-2,-2,-2,-1,1,3,2,0
278635963314,-2,0,1,-1,-1,0,-4,-2
278635963314,0,0,-1,-2,-3,-4,-6,-1
278635964070,-3,0,-1,-2,0,-2,-1,-2
278635964070,1,0,-2,0,-2,-1,3,0
278635977594,-1,0,-1,-1,1,1,-1,-3
278635977594,-2,-1,-1,-1,0,0,2,-1
278635978385,-1,0,-2,0,-2,-1,-4,-1
278635978385,1,-3,-2,-2,-1,0,-4,-2
278635988370,0,-1,-2,-2,-3,-1,1,1
278635988370,-1,-1,-1,0,0,1,2,-3
278636001197,-1,-1,-1,-1,0,-2,-3,-3
278636001197,-2,-1,1,-1,-2,-3,-1,0
278636008521,0,-1,0,1,0,0,-1,-1
278636008521,-1,-2,-1,-2,0,-2,3,0
278636055276,0,1,-1,1,0,0,0,-3
278636055276,-1,-2,-1,1,-3,-1,-5,-2
278636056216,-2,-2,-1,1,0,-2,-1,-2
278636056216,-1,-1,-2,0,-1,-1,-1,0
278636056883,-1,-1,0,-1,0,-3,0,1
278636056883,-2,1,-1,0,1,2,0,-1
278636059301,1,-1,-2,-1,-1,-2,-2,1
278636059301,-1,0,-1,-1,-2,-1,4,-2
278636082570,-1,-1,0,-2,-2,-3,-3,0
278636082570,-2,-2,0,-2,-1,-3,-1,-2
278636083278,-2,-1,-2,0,0,-2,-3,-1
278636083278,-3,-1,-2,0,1,1,-1,0
278636097438,-2,-1,-2,0,1,1,2,0
278636097438,-1,-2,1,-3,-2,-4,-2,-1
278636098215,0,2,0,-2,1,0,-1,0
278636098215,0,-1,-1,-1,-3,-2,-4,-1
278636106435,-1,0,-1,-1,-2,-1,-3,-2
278636106435,-3,-2,-3,0,0,0,4,-1
278636119216,-1,-1,-1,-2,-3,-4,-3,-1
278636119216,-1,1,0,-1,-1,-2,-2,0
278636136416,-1,0,-2,-1,-4,-3,-4,0
278636136416,-2,-1,-2,0,1,-2,1,0
278636137178,-2,-1,-3,-2,-2,-3,0,-1
278636137178,1,-1,-2,-2,1,-2,-2,-1
278636166681,-1,-1,1,0,2,-1,-4,0
278636166681,0,-1,1,-1,-1,2,0,0
278636167457,-2,-3,-1,-1,1,3,5,-3
278636167457,-2,-2,-1,0,-2,0,-1,-2
278636172358,-1,-1,-2,-1,-1,-3,-3,-1
278636172358,0,-2,-2,-2,-1,-1,2,0
278636173211,1,0,-1,-1,-2,-1,-4,-1
278636173211,0,-2,-1,-1,1,0,-2,-1
278636203881,-2,0,-1,0,0,3,5,-2
278636203881,-1,-1,-3,-2,-2,-2,-2,-2
278636204663,-2,-2,-1,-1,-1,-2,-3,0
278636204663,0,-1,-1,-1,0,-3,-4,-1
278636210756,0,-2,-1,-1,-1,0,9,1
278636210756,-1,0,-1,-1,-3,-2,-3,-1
278636216768,0,-1,0,-1,0,0,2,0
278636216768,-2,0,-1,-2,-2,-2,-3,-2
278636239938,-1,-1,-1,-1,0,-1,-3,0
278636239938,-1,-1,-1,0,-1,1,-1,-2
278636240760,-1,0,-2,0,-1,0,-3,0
278636240760,-1,0,-2,0,-1,-2,2,0
278636254858,0,1,0,-2,-2,-2,-2,-2
278636254858,-2,0,-1,-1,-1,-3,-2,-2
278636255639,-1,-2,1,-1,-1,0,-3,-3
278636255639,0,-1,-1,0,-1,1,-1,-1
278636278938,-1,-2,-2,-1,-1,2,8,1
278636278938,0,-2,-1,-1,1,-1,-6,-1
278636279769,-1,0,0,0,2,2,-1,0
278636279769,-1,0,0,-1,-1,-1,-1,1
278636285745,-2,-1,-1,0,-3,-1,-5,-3
278636285745,0,0,-1,-3,-2,0,3,1
278636291766,-2,0,-4,0,0,-1,0,2
278636291766,-2,1,0,-1,-1,0,1,0
278636323882,-1,-2,-2,0,2,1,-3,-1
278636323882,0,0,0,-1,2,-1,1,-2
278636324771,0,-1,-1,-2,-2,-3,-3,-1
278636324771,-1,-2,-1,-1,-1,-2,1,-2
278636330751,0,-1,-1,-2,-2,-2,2,-1
278636330751,-1,-2,-1,1,-1,-1,-1,0
278636336793,-1,-3,0,0,-2,-3,0,-1
278636336793,-1,-1,-3,-1,0,-1,-1,-1
278636359955,-1,-2,-2,-1,-2,-2,-6,1
278636359955,0,-1,0,0,2,-1,0,-1
278636360742,-2,0,-1,0,-1,0,-1,0
278636360742,0,0,0,0,-2,1,3,-1
